EVENT_LOG	DISCOVERY_ALG	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX
activitylog_uci_detailed_labour.xes.gz	ETM	10	0.0962	94	100	2.24	11	1.12	1.12	1.0	1.0	1.8	1.8	6	5	1	1	3	3
activitylog_uci_detailed_weekends.xes.gz	IMf	34	0.7556	11	29	3.1034	5	1.5517	1.5517	1.0	1.0	1.0	1.0	3	3	1	1	1	1
activitylog_uci_detailed_weekends.xes.gz	IMd	46	0.7541	15	33	3.697	9	1.8485	1.8485	1.0	1.0	1.0	1.0	7	7	1	1	1	1
activitylog_uci_detailed_weekends.xes.gz	ETM	6	0.0896	61	66	2.0606	3	1.0303	1.0303	1.0	1.0	1.1667	1.1667	2	2	1	1	2	2
edited_hh102_labour.xes.gz	IMf	50	0.7692	15	43	3.1163	5	1.5581	1.5581	1.0	1.0	1.04	1.04	3	3	1	1	3	3
edited_hh102_labour.xes.gz	IMd	7	0.2917	17	8	6.0	17	3.0	3.0	1.0	1.0	1.0	1.0	15	15	1	1	1	1
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMf	30	0.6818	14	31	3.0968	5	1.5484	1.5484	1.0	1.0	1.1333	1.1333	4	4	1	1	4	4
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMd	37	0.5522	30	27	4.963	14	2.4815	2.4815	1.0	1.0	1.0	1.0	12	12	1	1	1	1
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	13	0.1646	66	72	2.1944	3	1.0972	1.0972	1.0	1.0	1.0	1.0	2	2	1	1	1	1
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMf	36	0.5902	25	42	3.2381	6	1.619	1.619	1.16	1.04	1.0833	1.1667	3	3	5	2	2	6
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMd	34	0.5667	26	29	4.2069	7	2.1034	2.1034	1.0	1.0	1.0294	1.0294	5	5	1	1	2	2
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	ETM	12	0.5217	11	18	3.4444	11	1.7222	1.7222	1.0	1.0	1.6667	1.6667	6	5	1	1	3	3
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	29	0.7632	9	25	3.04	5	1.52	1.52	1.0	1.0	1.0	1.0	4	3	1	1	1	1
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	5	0.3333	10	6	5.0	11	2.5	2.5	1.0	1.0	1.0	1.0	9	9	1	1	1	1
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	7	0.35	13	15	2.6667	4	1.3333	1.3333	1.0	1.0	1.0	1.0	3	2	1	1	1	1
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	30	0.8108	7	26	2.9231	4	1.4615	1.4615	1.0	1.0	1.0333	1.0333	2	2	1	1	2	2
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	27	0.587	19	22	4.2727	12	2.1364	2.1364	1.0	1.0	1.037	1.037	10	10	1	1	2	2
BPI_Challenge_2014_Control summary.xes.gz	IMf	8	0.5714	6	11	2.5455	3	1.2727	1.2727	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2014_Control summary.xes.gz	IMd	3	0.3	7	7	2.8571	5	1.4286	1.4286	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2014_Control summary.xes.gz	ETM	10	0.625	6	13	3.6923	11	1.8462	1.8462	1.0	1.0	1.8	1.8	6	5	1	1	3	3
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMf	24	0.6154	15	28	3.2143	8	1.6071	1.6071	1.0	1.0	1.25	1.25	7	6	1	1	7	7
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMd	60	0.5085	58	46	5.2174	28	2.6087	2.6087	1.0	1.0	1.0333	1.0333	26	26	1	1	3	3
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	6	0.6667	3	7	2.5714	4	1.2857	1.2857	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	12	0.75	4	10	3.2	5	1.6	1.6	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	6	0.5455	5	9	2.6667	4	1.3333	1.3333	1.0	1.0	1.1667	1.1667	3	2	1	1	2	2
ElectronicInvoicingENG.xes.gz	IMf	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1
ElectronicInvoicingENG.xes.gz	IMd	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1
ElectronicInvoicingENG.xes.gz	ETM	4	0.1905	17	19	2.2105	3	1.1053	1.1053	1.0	1.0	1.0	1.0	2	2	1	1	1	1
4a_VARA_CIVEL_-_TJGO.xes	IMf	19	0.76	6	19	2.8421	4	1.4211	1.4211	1.0	1.0	1.1053	1.1053	2	2	1	1	2	2
4a_VARA_CIVEL_-_TJGO.xes	IMd	18	0.75	6	16	3.125	5	1.5625	1.5625	1.0	1.0	1.0556	1.0556	3	3	1	1	2	2
4a_VARA_CIVEL_-_TJGO.xes	ETM	30	0.6977	13	32	4.4375	16	2.2188	2.2188	1.0	1.0	1.9333	1.9333	9	7	1	1	4	4
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	28	0.8	7	22	3.1818	6	1.5909	1.5909	1.0	1.0	1.0	1.0	3	4	1	1	1	1
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMd	58	0.725	22	43	3.7674	10	1.8837	1.8837	1.0	1.0	1.0172	1.0172	7	7	1	1	2	2
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	11	0.1549	60	65	2.4308	11	1.2154	1.2154	1.0	1.0	1.7273	1.7273	6	5	1	1	3	3
BPI_Challenge_2014_Entitlement application.xes.gz	IMf	32	0.6809	15	28	3.5	7	1.75	1.75	1.0	1.0	1.0625	1.0625	5	4	1	1	3	3
BPI_Challenge_2014_Entitlement application.xes.gz	IMd	32	0.6275	19	29	3.6552	10	1.8276	1.8276	1.0	1.0	1.0625	1.0625	8	8	1	1	2	2
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	44	0.6667	22	60	3.5333	11	1.7667	1.7667	1.0	1.0	1.9091	1.9091	6	5	1	1	3	3
BPI_Challenge_2014_Inspection.xes.gz	IMf	30	0.6977	13	31	2.9677	4	1.4839	1.4839	1.0	1.0769	1.1	1.0667	2	2	1	2	3	3
BPI_Challenge_2014_Inspection.xes.gz	IMd	16	0.5161	15	17	3.7647	8	1.8824	1.8824	1.0	1.0	1.0625	1.0625	6	6	1	1	2	2
BPI_Challenge_2014_Inspection.xes.gz	ETM	3	0.0968	28	30	2.0667	3	1.0333	1.0333	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2014_Geo parcel document.xes.gz	IMf	44	0.7857	12	37	3.1892	6	1.5946	1.5946	1.0	1.0	1.0682	1.0682	5	3	1	1	2	2
BPI_Challenge_2014_Geo parcel document.xes.gz	IMd	29	0.6744	14	24	3.6667	8	1.8333	1.8333	1.0	1.0	1.0345	1.0345	6	6	1	1	2	2
BPI_Challenge_2014_Geo parcel document.xes.gz	ETM	25	0.7576	8	31	3.2258	11	1.6129	1.6129	1.0	1.0	1.68	1.68	6	5	1	1	3	3
BPI_Challenge_2012.xes.gz	IMf	29	0.5686	22	43	2.6977	6	1.3488	1.3488	1.0	1.0909	1.2414	1.1724	3	3	1	3	4	4
BPI_Challenge_2012.xes.gz	IMd	30	0.5769	22	43	2.7442	9	1.3721	1.3721	1.0	1.0	1.2333	1.2333	6	7	1	1	4	4
BPI_Challenge_2012.xes.gz	ETM	0	0.0	34	33	2.0606	3	1.0303	1.0303	1.0	1.0	0.0	0.0	2	2	1	1	0	0
edited_hh110_weekends.xes.gz	IMf	45	0.7759	13	40	3.05	5	1.525	1.525	1.0	1.0	1.0667	1.0667	3	2	1	1	2	3
edited_hh110_weekends.xes.gz	IMd	46	0.7797	13	34	3.4706	6	1.7353	1.7353	1.0	1.0	1.0	1.0	4	4	1	1	1	1
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	38	0.7308	14	40	2.95	4	1.475	1.475	1.0	1.0	1.1842	1.1842	3	3	1	1	5	5
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	26	0.5652	20	25	3.76	9	1.88	1.88	1.0	1.0	1.0385	1.0385	7	7	1	1	2	2
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	5	0.045	106	106	2.0943	3	1.0472	1.0472	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMf	28	0.5185	26	31	3.6129	8	1.8065	1.8065	1.0	1.0	1.0714	1.0714	5	5	1	1	2	2
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMd	23	0.4259	31	18	6.0	19	3.0	3.0	1.0	1.0	1.0	1.0	17	17	1	1	1	1
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	24	0.4898	25	39	3.7436	11	1.8718	1.8718	1.0	1.0	2.0	2.0	6	5	1	1	3	3
DocumentProcessingENG.xes.gz	IMf	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1
DocumentProcessingENG.xes.gz	IMd	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1
DocumentProcessingENG.xes.gz	ETM	4	0.1818	18	20	2.2	3	1.1	1.1	1.0	1.0	1.0	1.0	2	2	1	1	1	1
edited_hh110_labour.xes.gz	IMf	29	0.7838	8	27	2.963	4	1.4815	1.4815	1.0	1.0	1.1034	1.1034	2	2	1	1	3	3
edited_hh110_labour.xes.gz	IMd	34	0.68	16	26	3.8462	11	1.9231	1.9231	1.0	1.0	1.0	1.0	9	9	1	1	1	1
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	29	0.6304	17	27	3.4815	9	1.7407	1.7407	1.0	1.0	1.0345	1.0345	7	4	1	1	2	2
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	18	0.4737	20	15	5.0667	15	2.5333	2.5333	1.0	1.0	1.0	1.0	13	13	1	1	1	1
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	10	0.0826	111	122	2.1311	11	1.0656	1.0656	1.0	1.0	1.9	1.9	6	5	1	1	3	3
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	24	0.7059	10	23	3.0435	4	1.5217	1.5217	1.0	1.0	1.0417	1.0417	2	2	1	1	2	2
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	34	0.5075	33	25	5.36	16	2.68	2.68	1.0	1.0	1.0	1.0	13	14	1	1	1	1
edited_hh104_weekends.xes.gz	IMf	35	0.7778	10	32	3.0	5	1.5	1.5	1.0	1.0	1.0857	1.0857	3	4	1	1	3	3
edited_hh104_weekends.xes.gz	IMd	20	0.5556	16	19	4.0	12	2.0	2.0	1.0	1.0	1.1	1.1	10	10	1	1	3	3
edited_hh104_weekends.xes.gz	ETM	2	0.0156	126	124	2.0645	3	1.0323	1.0323	1.0	1.0	1.0	1.0	2	2	1	1	1	1
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	32	0.6531	17	31	3.3548	11	1.6774	1.6774	1.0	1.0	1.0938	1.0938	6	9	1	1	3	3
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMd	21	0.4375	27	16	6.0	17	3.0	3.0	1.0	1.0	1.0	1.0	15	15	1	1	1	1
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	10	0.1562	54	59	2.4407	11	1.2203	1.2203	1.0	1.0	1.8	1.8	6	5	1	1	3	3
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMf	13	0.4194	18	12	5.1667	15	2.5833	2.5833	1.0	1.0	1.0	1.0	13	13	1	1	1	1
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	19	0.5	19	15	5.0667	10	2.5333	2.5333	1.0	1.0	1.0	1.0	8	8	1	1	1	1
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	8	0.1356	51	53	2.5283	11	1.2642	1.2642	1.0	1.0	2.0	2.0	6	5	1	1	3	3
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	IMf	30	0.6522	16	34	3.0	5	1.5	1.5	1.0	1.0	1.1667	1.1667	3	3	1	1	3	3
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	IMd	25	0.5435	21	21	4.4762	14	2.2381	2.2381	1.0	1.0	1.04	1.04	12	12	1	1	2	2
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	12	0.1348	77	88	2.2273	11	1.1136	1.1136	1.0	1.0	1.75	1.75	6	5	1	1	3	3
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMf	22	0.5366	19	34	2.7647	5	1.3824	1.3824	1.0	1.0	1.2727	1.2727	3	4	1	1	3	3
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	20	0.4762	22	22	3.9091	7	1.9545	1.9545	1.0	1.0	1.05	1.05	4	4	1	1	2	2
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	16	0.5	16	26	3.6923	11	1.8462	1.8462	1.0	1.0	2.0	2.0	6	5	1	1	3	3
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMf	31	0.6078	20	27	3.8519	11	1.9259	1.9259	1.0	1.0	1.0323	1.0323	9	9	1	1	2	2
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMd	25	0.5102	24	19	5.1579	14	2.5789	2.5789	1.0	1.0	1.0	1.0	12	12	1	1	1	1
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	11	0.2683	30	38	2.5789	11	1.2895	1.2895	1.0	1.0	1.7273	1.7273	6	5	1	1	3	3
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	9	0.6	6	11	2.7273	4	1.3636	1.3636	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	4	0.4	6	7	2.8571	5	1.4286	1.4286	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	17	0.7391	6	20	3.9	11	1.95	1.95	1.0	1.0	1.9412	1.9412	6	5	1	1	3	3
Hospital Billing - Event Log.xes.gz	IMf	20	0.5882	14	20	3.5	7	1.75	1.75	1.0	1.0	1.05	1.05	4	4	1	1	2	2
Hospital Billing - Event Log.xes.gz	IMd	20	0.5714	15	16	4.375	10	2.1875	2.1875	1.0	1.0	1.0	1.0	8	8	1	1	1	1
Hospital Billing - Event Log.xes.gz	ETM	26	0.7222	10	27	4.1481	16	2.0741	2.0741	1.0	1.0	1.7692	1.7692	9	7	1	1	4	4
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMf	54	0.7826	15	42	3.3333	5	1.6667	1.6667	1.0	1.0	1.0185	1.0185	3	3	1	1	2	2
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMd	45	0.7258	17	31	4.0	10	2.0	2.0	1.0	1.0	1.0	1.0	8	8	1	1	1	1
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	20	0.4167	28	43	2.6512	11	1.3256	1.3256	1.0	1.0	1.45	1.45	6	5	1	1	3	3
Road_Traffic_Fine_Management_Process.xes.gz	IMf	16	0.5926	11	26	2.5385	3	1.2692	1.2692	1.0	1.4545	1.375	1.0625	2	2	1	6	3	2
Road_Traffic_Fine_Management_Process.xes.gz	IMd	19	0.6333	11	22	3.0	5	1.5	1.5	1.0	1.0	1.1579	1.1579	2	3	1	1	2	2
Road_Traffic_Fine_Management_Process.xes.gz	ETM	6	0.4286	8	10	2.8	4	1.4	1.4	1.0	1.0	1.0	1.0	2	2	1	1	1	1
BPI_Challenge_2020_PermitLog.xes.gz	IMf	80	0.7207	31	75	3.2	6	1.6	1.6	1.0	1.0	1.1125	1.1125	3	3	1	1	7	7
BPI_Challenge_2020_PermitLog.xes.gz	IMd	24	0.375	40	20	6.4	25	3.2	3.2	1.0	1.0	1.0	1.0	23	23	1	1	1	1
BPI_Challenge_2020_PermitLog.xes.gz	ETM	28	0.56	22	44	3.4091	11	1.7045	1.7045	1.0	1.0	1.8929	1.8929	6	5	1	1	3	3
BPI_Challenge_2019_log_IEEE.xes.gz	IMf	71	0.732	26	67	3.194	7	1.597	1.597	1.0	1.0	1.1408	1.1408	5	5	1	1	7	7
BPI_Challenge_2019_log_IEEE.xes.gz	IMd	35	0.5556	28	27	4.7407	19	2.3704	2.3704	1.0	1.0	1.0286	1.0286	17	17	1	1	2	2
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	2	0.2222	7	10	2.0	3	1.0	1.0	1.0	1.0	1.5	1.5	2	2	1	1	2	2
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMf	20	0.5882	14	23	3.3043	6	1.6522	1.6522	1.0	1.0	1.2	1.2	5	5	1	1	5	5
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMd	28	0.3836	45	21	7.0476	20	3.5238	3.5238	1.0	1.0	1.0357	1.0357	17	17	1	1	2	2
Sepsis Cases - Event Log.xes.gz	IMf	16	0.5333	14	22	3.0	5	1.5	1.5	1.0	1.0714	1.1875	1.125	3	3	1	2	3	3
Sepsis Cases - Event Log.xes.gz	IMd	16	0.5	16	18	3.8889	7	1.9444	1.9444	1.0	1.0	1.1875	1.1875	5	5	1	1	3	3
Sepsis Cases - Event Log.xes.gz	ETM	62	0.7209	24	77	3.7143	11	1.8571	1.8571	1.0	1.0	1.9194	1.9194	6	5	1	1	3	3
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMf	43	0.7679	13	40	3.05	5	1.525	1.525	1.0	1.0	1.1163	1.1163	4	3	1	1	4	5
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMd	25	0.3472	47	21	6.9524	34	3.4762	3.4762	1.0	1.0	1.04	1.04	32	32	1	1	2	2
BPI_Challenge_2013_open_problems.xes.gz	IMf	7	0.7	3	7	2.8571	5	1.4286	1.4286	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2013_open_problems.xes.gz	IMd	11	0.7857	3	9	3.1111	5	1.5556	1.5556	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2013_open_problems.xes.gz	ETM	31	0.7381	11	31	4.2581	11	2.129	2.129	1.0	1.0	1.7742	1.7742	6	5	1	1	3	3
BPI_Challenge_2013_incidents.xes.gz	IMf	9	0.75	3	10	2.6	3	1.3	1.3	1.0	1.0	1.1111	1.1111	2	2	1	1	2	2
BPI_Challenge_2013_incidents.xes.gz	IMd	17	0.8095	4	14	3.1429	5	1.5714	1.5714	1.0	1.0	1.0588	1.0588	2	3	1	1	2	2
BPI_Challenge_2013_incidents.xes.gz	ETM	14	0.5833	10	17	3.7647	11	1.8824	1.8824	1.0	1.0	1.5714	1.5714	6	5	1	1	3	3
BPI Challenge 2017.xes.gz	IMf	34	0.6296	20	38	3.0526	6	1.5263	1.5263	1.0	1.0	1.1176	1.1176	4	4	1	1	3	3
BPI Challenge 2017.xes.gz	IMd	31	0.5439	26	24	4.75	13	2.375	2.375	1.0	1.0	1.0	1.0	11	11	1	1	1	1
BPI Challenge 2017.xes.gz	ETM	27	0.4821	29	51	2.6275	11	1.3137	1.3137	1.0	1.0	1.4074	1.4074	6	5	1	1	3	3
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	12	0.5217	11	13	3.5385	5	1.7692	1.7692	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	18	0.6207	11	15	3.8667	6	1.9333	1.9333	1.0	1.0	1.0	1.0	3	3	1	1	1	1
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	27	0.6923	12	32	3.9375	11	1.9688	1.9688	1.0	1.0	1.8889	1.8889	6	5	1	1	3	3
5a_VARA_CIVEL_-_TJMT.xes	IMf	14	0.56	11	22	2.6364	4	1.3182	1.3182	1.3636	1.0	1.0	1.2857	2	2	5	1	1	4
5a_VARA_CIVEL_-_TJMT.xes	IMd	23	0.6765	11	21	3.3333	6	1.6667	1.6667	1.0	1.0	1.0435	1.0435	3	4	1	1	2	2
5a_VARA_CIVEL_-_TJMT.xes	ETM	15	0.2	60	66	2.5152	11	1.2576	1.2576	1.0	1.0	1.5333	1.5333	6	5	1	1	3	3
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	31	0.7949	8	26	3.0	4	1.5	1.5	1.0	1.0	1.0	1.0	2	2	1	1	1	1
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMd	42	0.7925	11	33	3.2121	6	1.6061	1.6061	1.0	1.0	1.0	1.0	3	4	1	1	1	1
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	ETM	13	0.0644	189	193	2.0933	3	1.0466	1.0466	1.0	1.0	1.0	1.0	2	2	1	1	1	1
