case:court:code	PENDENTES-CRIMINAL-2015	PENDENTES-CRIMINAL-2016	PENDENTES-CRIMINAL-2017	PENDENTES-CRIMINAL-2018	PENDENTES-CRIMINAL-2019	PENDENTES-NÃO CRIMINAL-2015	PENDENTES-NÃO CRIMINAL-2016	PENDENTES-NÃO CRIMINAL-2017	PENDENTES-NÃO CRIMINAL-2018	PENDENTES-NÃO CRIMINAL-2019	PENDENTES-NÃO CRIMINAL-2020	SUSPENSOS-CONHECIMENTO-2015	SUSPENSOS-CONHECIMENTO-2016	SUSPENSOS-CONHECIMENTO-2017	SUSPENSOS-CONHECIMENTO-2018	SUSPENSOS-CONHECIMENTO-2019	SUSPENSOS-CONHECIMENTO-2020	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2015	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2016	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2017	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2018	PENDENTES-EXECUÇÃO JUDICIAL NÃO CRIMINAL-2019	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2015	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2016	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2017	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2018	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2019	PENDENTES-EXTRAJUDICIAL NÃO FISCAL-2020	RECURSOS INTERNOS-CONHECIMENTO-2018	RECURSOS INTERNOS-CONHECIMENTO-2019	RECURSOS INTERNOS-CONHECIMENTO-2020	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2017	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2018	SUSPENSOS-EXTRAJUDICIAL NÃO FISCAL-2019	Tipo	Classificação	Município
2773	12	12	89	73	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	V - VARA;	BOA VISTA
2774	2394	1739	1858	2035	2078	0	0	0	0	0	0	955	814	259	712	847	831	0	0	0	0	0	0	0	0	0	0	0	5	4	3	0	0	0	UJ1	V - VARA;	BOA VISTA
2775	2445	1928	2266	2429	2471	0	0	0	0	0	0	630	658	705	941	1080	1005	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	UJ1	V - VARA;	BOA VISTA
2776	0	0	0	0	0	3904	2347	922	868	719	887	37	50	41	74	38	33	5	3	140	330	208	214	195	157	186	153	149	3	4	4	0	0	0	UJ1	JE - JUIZADO ESPECIAL;	BOA VISTA
2777	0	0	0	0	0	2258	2182	962	940	777	942	86	28	6	10	5	8	10	10	247	452	279	148	177	190	195	159	174	4	4	18	0	0	0	UJ1	JE - JUIZADO ESPECIAL;	BOA VISTA
2778	0	0	0	0	0	2409	2221	842	890	576	793	16	2	1	19	14	16	22	2	140	362	290	151	146	136	170	127	132	7	7	7	0	0	0	UJ1	JE - JUIZADO ESPECIAL;	BOA VISTA
2779	351	119	119	135	67	0	0	0	0	0	0	15	29	34	46	15	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	UJ1	JE - JUIZADO ESPECIAL;	BOA VISTA
2780	252	148	137	172	153	437	366	397	375	260	178	37	48	61	40	35	32	66	58	62	108	218	24	24	28	22	26	29	2	4	4	15	16	18	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	ALTO ALEGRE
2781	510	543	528	447	423	1059	875	777	575	541	464	105	117	117	160	143	161	201	201	213	240	224	114	162	196	176	141	144	9	9	8	72	94	109	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	CARACARAI
2782	685	660	640	620	577	1150	1091	1054	948	694	586	172	173	117	148	205	154	185	230	269	298	455	256	311	312	298	242	258	13	13	20	126	137	143	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	MUCAJAI
2783	438	455	457	548	630	946	629	454	463	709	360	76	79	109	131	173	192	72	81	196	198	170	12	21	16	27	33	42	8	5	7	7	6	11	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	PACARAIMA
2784	671	718	665	762	873	928	904	1117	1331	986	718	196	123	147	218	279	315	94	57	215	336	484	99	175	139	159	168	173	6	8	9	36	48	87	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	RORAINOPOLIS
2785	310	254	265	308	318	932	741	903	907	789	612	103	66	94	73	86	74	102	116	149	198	262	141	189	158	153	137	145	13	11	9	54	72	75	UJ1	O1º - OUTRAS UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	SAO LUIZ
2786	0	0	0	0	0	293	325	528	336	194	129	13	34	10	73	23	15	114	219	783	707	268	0	0	0	0	0	0	1	0	0	9	53	42	UJ1	V - VARA;	BOA VISTA
2787	0	0	0	0	0	1195	833	816	1651	811	442	1	1	1	0	2	21	655	911	925	909	901	0	0	0	0	0	0	0	0	0	2	3	8	UJ1	V - VARA;	BOA VISTA
2788	966	1113	1298	1445	1347	1685	1909	2164	2056	1310	1094	190	196	207	222	286	346	296	331	394	433	382	191	219	234	245	216	180	0	0	1	100	97	116	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ÁGUA CLARA
2789	876	1181	1180	1251	33	3449	4272	5064	5268	3870	2868	262	287	266	336	485	406	625	680	692	681	559	372	384	401	384	327	296	0	0	0	187	158	139	UJ1	V - VARA;	AMAMBAI
2790	897	922	1032	772	881	1277	1019	1095	1223	1437	1290	269	278	265	280	281	298	387	384	357	398	344	127	137	135	132	116	99	0	0	0	199	193	174	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ANASTÁCIO
2791	507	542	536	585	482	1440	1558	1510	1386	1356	1271	214	200	213	232	264	291	323	361	380	393	444	154	190	212	221	220	192	1	0	1	195	231	239	UJ1	V - VARA;	APARECIDA DO TABOADO
2792	0	0	0	0	0	0	0	0	0	1953	1419	0	0	0	0	39	39	0	0	0	0	580	0	0	0	0	666	657	0	20	7	0	0	59	UJ1	V - VARA;	PORTO VELHO
2793	0	0	0	0	0	0	5207	5188	5344	0	0	0	201	358	327	0	0	0	64	62	60	0	0	827	861	918	0	0	0	156	158	121	126	0	UJ1	V - VARA;	BELEM
2794	0	0	0	0	0	0	5646	5935	6469	0	0	0	95	90	106	0	0	0	72	79	81	0	0	1219	1259	1370	0	0	0	197	150	86	103	0	UJ1	V - VARA;	BELEM
2795	0	0	0	0	0	0	6188	6240	6314	0	0	0	475	456	419	0	0	0	80	75	78	0	0	1376	1427	1482	0	0	0	212	190	356	354	0	UJ1	V - VARA;	BELEM
2796	0	0	0	0	0	0	6485	6406	6882	0	0	0	247	282	298	0	0	0	61	58	69	0	0	1278	1275	1389	0	0	0	205	157	51	56	0	UJ1	V - VARA;	BELEM
2797	1871	2069	2197	2317	2475	0	0	0	1	1	1	479	490	505	487	495	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	V - VARA;	DOURADOS
2798	0	0	0	0	0	0	9427	8777	8272	0	0	0	40	42	64	0	0	0	104	100	130	0	0	908	971	1035	0	0	0	252	233	15	21	0	UJ1	V - VARA;	BELEM
2799	0	1	1	2	0	0	7641	5887	6514	0	0	0	1468	407	444	0	0	0	120	105	117	0	0	863	709	771	0	0	0	312	271	44	50	0	UJ1	V - VARA;	BELEM
2800	0	0	0	0	0	1305	1196	986	970	1518	1975	137	140	124	61	56	37	663	702	561	475	505	379	397	447	341	327	287	0	0	6	479	337	336	UJ1	V - VARA;	NOVA ANDRADINA
2801	0	0	0	0	0	0	4785	4854	4996	0	0	0	77	124	143	0	0	0	58	56	54	0	0	776	834	873	0	0	0	274	262	66	66	0	UJ1	V - VARA;	BELEM
2802	107	111	103	72	45	5427	5776	6277	2745	3340	1766	89	89	73	0	0	0	439	642	762	972	1205	2555	2661	2784	631	782	262	2	1	7	67	0	0	UJ1	JE - JUIZADO ESPECIAL;	DOURADOS
2803	0	0	0	0	0	0	4879	4757	5198	0	0	0	472	98	96	0	0	0	53	66	88	0	0	996	1028	1060	0	0	0	215	198	28	35	0	UJ1	V - VARA;	BELEM
2804	0	0	0	1	1	1568	1599	2048	2063	2002	2256	176	177	171	236	236	259	1134	1189	1308	1580	1450	367	392	434	459	467	423	1	0	0	561	650	716	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	PARANAIBA
2805	0	0	0	1	0	0	5662	5631	5996	0	0	0	353	337	332	0	0	0	57	60	67	0	0	1087	1124	1220	0	0	0	238	205	155	190	0	UJ1	V - VARA;	BELEM
2806	0	0	0	0	0	1134	1173	1546	1981	2022	1742	141	135	127	116	142	155	927	1067	980	1249	1167	276	321	323	328	307	269	3	3	3	560	617	692	UJ1	V - VARA;	PARANAIBA
2807	1631	1493	1536	1488	1509	0	0	0	0	0	0	574	621	656	693	721	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	V - VARA;	DOURADOS
2808	0	0	0	0	0	0	3996	3663	4760	0	0	0	568	576	599	0	0	0	52	47	53	0	0	991	949	1133	0	0	0	185	166	116	130	0	UJ1	V - VARA;	BELEM
2809	2248	2262	2253	2377	2194	67	59	3	91	53	46	595	620	574	572	609	643	19	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	PARANAIBA
2810	0	0	0	0	0	0	5650	5247	5389	0	0	0	776	161	161	0	0	0	68	66	69	0	0	872	882	943	0	0	0	118	91	69	78	0	UJ1	V - VARA;	BELEM
2811	428	392	395	462	449	970	816	881	1074	1019	733	96	84	81	93	100	99	324	316	313	332	326	53	53	61	67	67	56	3	2	1	121	120	115	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	PEDRO GOMES
2812	0	0	0	0	0	3135	2601	2591	2779	2914	3170	101	97	99	91	97	84	1122	1137	1119	1136	1135	914	895	936	980	985	910	1	0	1	767	757	798	UJ1	V - VARA;	DOURADOS
2813	0	0	0	0	0	0	2738	2752	2700	0	0	0	182	181	209	0	0	0	78	142	220	0	0	774	826	905	0	0	0	196	159	134	309	0	UJ1	V - VARA;	BELEM
2814	27	34	3	0	0	1160	1227	1434	1319	1386	1189	53	58	73	62	62	60	744	755	812	898	912	4	4	6	4	4	4	0	0	0	403	407	337	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	PONTA PORA
2815	0	0	0	1	1	1962	2052	2127	2403	2276	2491	122	122	123	86	86	90	572	575	557	650	690	610	651	685	682	673	647	1	1	1	455	458	492	UJ1	V - VARA;	PONTA PORA
2816	0	0	0	1	0	2554	2084	2126	2095	1940	2113	87	84	83	74	72	79	1135	1229	1225	1266	1388	1001	995	1051	1083	1100	1020	0	0	2	1191	1274	1339	UJ1	V - VARA;	DOURADOS
2817	0	0	1	0	0	0	5503	5203	6055	0	0	0	1142	1221	1221	0	0	0	89	85	170	0	0	790	833	887	0	0	0	143	132	227	266	0	UJ1	V - VARA;	BELEM
2818	0	0	0	0	0	2384	2580	3042	3009	3059	3096	139	128	131	151	147	124	573	636	641	798	910	662	724	766	762	764	702	0	0	1	493	495	498	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	PONTA PORA
2819	0	0	0	0	0	0	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	V - VARA;	BELEM
2820	0	0	0	0	0	5820	4523	5375	5716	4684	4176	0	9	7	220	161	66	0	559	665	714	731	725	756	845	929	1292	1201	232	0	0	0	1	5	UJ1	V - VARA;	SAO LUIS
2822	0	0	0	0	0	2640	1903	1756	1879	1982	2038	370	288	326	331	359	355	1328	1432	1455	1591	1715	1106	1114	1176	1220	1238	1152	2	1	2	1496	1626	1643	UJ1	V - VARA;	DOURADOS
2824	0	0	0	0	0	67	79	77	75	64	21	1	1	1	1	0	0	130	154	100	89	87	0	0	0	0	0	0	0	0	1	49	45	30	UJ1	V - VARA;	DOURADOS
2825	0	0	0	0	0	1594	1776	2049	2144	2268	2344	63	37	44	59	61	67	364	424	483	481	553	372	467	549	580	568	517	0	0	0	207	183	202	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	RIO BRILHANTE
2826	489	591	5	2	2	405	453	457	766	655	534	0	0	1	1	2	6	123	201	222	270	284	0	0	0	0	0	0	0	0	0	1	2	1	UJ1	V - VARA;	DOURADOS
2827	1132	1168	983	918	928	2014	1896	1687	1545	1497	1389	206	236	247	281	322	339	670	645	588	562	545	203	217	232	221	236	213	1	1	1	145	173	196	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	RIO VERDE DE MATO GROSSO
2828	759	825	736	729	839	1944	1892	3087	2544	2928	2819	210	646	321	121	110	3	469	506	293	806	830	435	417	470	402	426	446	0	1	23	162	42	38	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	AGUDO
2829	1000	1053	1080	1199	1084	1429	1182	1351	2112	2032	1856	317	392	386	501	558	596	328	330	359	378	383	71	85	99	134	146	133	2	2	2	137	138	136	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ELDORADO
2830	636	769	851	855	764	1266	1568	2021	2799	2199	1979	224	265	322	225	519	308	342	364	306	304	280	94	136	178	215	216	196	2	0	0	90	94	100	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	SETE QUEDAS
2831	482	495	541	604	510	682	818	845	1013	962	896	378	363	376	415	471	456	556	576	593	652	620	297	308	331	362	347	325	2	1	1	578	575	610	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	FATIMA DO SUL
2832	239	230	290	293	289	274	371	441	775	383	431	100	81	80	93	71	68	101	120	101	63	50	0	0	0	0	0	0	0	0	0	3	2	2	UJ1	V - VARA;	TRES LAGOAS
2833	0	0	0	0	0	811	993	1119	1292	1427	1296	37	22	27	34	40	49	331	365	354	416	484	217	281	330	350	345	275	0	0	0	163	196	370	UJ1	V - VARA;	TRES LAGOAS
2834	473	525	461	416	348	1004	1014	899	812	684	606	155	182	114	86	94	100	216	245	337	298	194	76	111	133	120	114	106	1	1	1	54	37	57	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	INOCENCIA
2835	0	0	0	0	0	0	1534	1306	1810	0	0	0	21	75	80	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	UJ1	V - VARA;	BELEM
2836	0	0	0	0	0	1546	1611	1548	1548	1879	2067	130	121	67	68	45	42	553	469	451	550	612	318	340	423	418	443	379	1	2	5	141	176	268	UJ1	V - VARA;	TRES LAGOAS
2837	0	0	0	0	0	6118	4547	5569	5194	4489	3368	0	99	126	186	168	158	0	226	117	221	350	963	963	986	668	925	561	286	0	0	159	30	24	UJ1	V - VARA;	SAO LUIS
2838	0	0	0	0	0	0	712	554	564	0	0	0	73	110	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UJ1	V - VARA;	BELEM
2839	1050	1094	968	881	656	1754	1801	2013	1862	1447	1651	234	219	261	378	391	408	898	894	912	931	907	520	536	550	569	525	495	1	1	1	597	761	749	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ITAPORA
2840	0	0	0	0	0	0	1896	1340	1752	0	0	0	59	63	66	0	0	0	314	199	230	0	0	23	3	3	0	0	0	17	14	34	46	0	UJ1	V - VARA;	BELEM
2841	0	0	0	0	0	0	1056	1373	1733	0	0	0	75	79	86	0	0	0	170	152	159	0	0	17	15	11	0	0	0	24	21	41	37	0	UJ1	V - VARA;	BELEM
2842	696	677	785	764	799	1295	1278	1487	2059	2318	1279	159	130	116	133	230	333	576	525	546	558	487	182	139	168	187	187	168	0	0	1	106	111	159	UJ1	V - VARA;	IVINHEMA
2843	0	0	0	0	0	5430	4098	6100	5459	3824	2881	0	1	7	59	17	30	0	165	90	226	816	574	572	711	687	1004	642	380	0	0	3	2	19	UJ1	V - VARA;	SAO LUIS
2844	0	1	0	0	0	0	1933	1687	1910	0	0	0	52	52	61	0	0	0	419	317	306	0	0	18	8	13	0	0	0	7	7	47	34	0	UJ1	V - VARA;	BELEM
2845	464	462	496	380	350	657	954	1637	1057	1096	1101	99	102	235	176	139	5	530	464	345	750	534	220	222	223	225	219	228	0	11	26	182	233	145	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ANTONIO PRADO
2846	107	145	124	125	92	1605	2410	2308	2596	2164	1798	0	0	47	85	90	92	809	1103	1272	1379	1234	489	914	1020	994	624	326	0	0	4	0	0	0	UJ1	JE - JUIZADO ESPECIAL;	TRES LAGOAS
2847	428	385	359	252	227	2217	2297	3779	2915	2745	2872	827	701	522	445	434	59	442	350	389	829	820	395	450	514	538	509	501	0	9	36	368	457	456	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	FELIZ
2848	0	1	1	0	0	0	974	1202	1587	0	0	0	26	31	53	0	0	0	205	164	186	0	0	2	4	3	0	0	0	22	24	37	44	0	UJ1	V - VARA;	BELEM
2849	0	0	0	0	0	4452	3829	5257	5002	5276	4525	0	1	2	83	80	5	0	316	69	165	283	536	582	767	765	938	791	303	0	0	2	3	5	UJ1	V - VARA;	SAO LUIS
2850	0	0	0	0	0	0	1872	1422	1461	0	0	0	159	118	92	0	0	0	512	322	265	0	0	2	3	1	0	0	0	15	12	40	31	0	UJ1	V - VARA;	BELEM
2851	0	0	0	0	0	4757	3025	3575	3142	2968	1812	0	126	166	285	80	161	0	354	234	372	1304	732	740	839	783	1146	630	442	0	0	95	66	124	UJ1	V - VARA;	SAO LUIS
2852	0	0	0	0	0	2621	4147	5345	6066	6027	5253	0	85	472	696	554	356	0	208	99	515	777	250	305	390	379	367	371	803	0	0	13	18	15	UJ1	V - VARA;	AÇAILÂNDIA
2853	1425	1520	1326	1126	1006	2723	2447	4230	2912	3231	3333	196	578	477	384	343	18	1387	1303	746	1944	1778	690	722	787	754	767	847	0	10	74	373	737	492	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	FLORES DA CUNHA
2854	0	0	0	0	0	0	1186	1138	1033	0	0	0	151	104	102	0	0	0	307	231	209	0	0	1	3	1	0	0	0	17	22	61	42	0	UJ1	V - VARA;	BELEM
2855	0	0	0	0	0	3278	2715	3421	2789	1752	1076	0	209	251	256	17	55	0	757	809	596	639	657	887	957	731	716	609	250	0	0	593	31	36	UJ1	V - VARA;	SAO LUIS
2856	0	0	0	0	0	808	1196	1681	2034	2105	1751	0	2	142	176	8	149	0	106	118	194	294	290	383	498	526	551	565	94	0	0	18	18	23	UJ1	V - VARA;	AÇAILÂNDIA
2857	0	1	0	0	0	0	2073	1937	2194	0	0	0	80	63	64	0	0	0	430	365	406	0	0	4	4	3	0	0	0	6	8	30	35	0	UJ1	V - VARA;	BELEM
2858	3	1	0	0	0	1378	1989	613	876	848	711	0	1567	4	3	3	4	0	299	322	385	482	1	1	4	3	4	3	17	0	0	25	9	0	UJ1	V - VARA;	AÇAILÂNDIA
2859	0	0	0	0	0	6404	5464	6664	6805	6098	4997	0	50	53	98	43	15	0	167	58	140	284	681	750	937	1000	1220	917	332	0	0	6	21	6	UJ1	V - VARA;	SAO LUIS
2860	0	0	0	0	0	0	1764	1554	1648	1833	0	0	36	21	18	12	0	0	215	157	151	400	0	11	8	8	21	0	0	0	0	6	8	11	UJ1	V - VARA;	BELEM
2861	0	0	0	0	0	2103	1511	2842	2860	2792	2821	0	2	68	82	77	78	0	540	724	693	758	337	379	501	488	526	565	231	0	0	10	18	14	UJ1	V - VARA;	SAO LUIS
2862	0	0	0	0	0	770	579	841	728	647	522	0	4	5	5	2	0	0	233	283	326	346	0	0	3	4	4	4	20	0	0	19	16	15	UJ1	V - VARA;	AÇAILÂNDIA
2863	790	785	616	567	672	1804	1884	3193	2068	2123	2272	449	680	678	531	478	327	648	631	704	920	990	622	697	676	546	503	645	0	4	34	389	404	379	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	SAO MARCOS
2864	683	637	470	357	363	2090	1904	4174	2595	2632	3040	208	681	436	205	214	28	698	655	394	859	863	327	426	410	427	508	618	0	8	81	439	263	292	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	GARIBALDI
2865	528	464	685	572	460	0	0	0	0	0	0	0	11	4	17	55	53	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2866	0	53	48	35	0	0	7639	7626	6910	0	0	0	347	448	486	0	0	0	288	293	200	0	0	85	72	71	0	0	0	141	118	16	16	0	UJ1	V - VARA;	BELEM
2867	867	1026	1267	1069	951	0	0	1	1	0	0	0	103	124	437	424	384	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2868	491	978	314	48	4	2452	2682	2753	2861	3771	2643	0	359	77	95	123	193	0	428	99	26	113	215	197	274	278	521	371	108	0	0	4	14	4	UJ1	V - VARA;	BACABAL
2869	342	271	1249	1487	1537	1533	1599	443	70	5	5	0	14	42	52	66	124	0	54	1	1	0	174	232	30	9	1	1	41	0	0	0	0	0	UJ1	V - VARA;	BACABAL
2870	474	526	367	275	239	1452	1795	3272	2763	3247	3030	202	201	207	150	136	50	505	483	539	931	1018	417	558	687	764	864	911	0	4	11	162	117	127	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	GAURAMA
2871	0	32	32	20	0	0	6927	7021	5630	0	0	0	802	927	946	1	0	0	5252	5251	5227	0	0	85	77	93	0	0	0	112	95	5104	5124	0	UJ1	V - VARA;	BELEM
2872	471	609	57	37	3	829	1343	2463	2690	2816	1306	0	36	217	222	162	45	0	282	568	663	1072	4	3	4	3	2	2	8	0	0	1	8	10	UJ1	V - VARA;	BACABAL
2873	1191	1404	1688	1768	1920	0	0	0	0	0	0	0	221	266	326	402	471	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2874	0	32	29	28	0	0	6569	6854	5791	0	0	0	1815	1861	1925	1	0	0	139	127	92	0	0	30	42	33	0	0	0	213	151	21	13	0	UJ1	V - VARA;	BELEM
2875	1131	1231	1511	1402	1433	0	0	0	0	0	0	0	26	68	9	34	60	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2876	183	202	96	89	109	703	880	1323	995	995	888	82	55	75	58	48	78	166	148	151	232	231	95	104	120	95	88	99	0	4	16	90	47	44	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	GENERAL CAMARA
2877	661	404	87	42	0	1319	1286	2599	2875	3387	1847	0	51	26	150	204	69	0	154	67	84	384	1	17	184	191	286	179	108	0	0	5	12	28	UJ1	V - VARA;	BACABAL
2878	889	926	1178	1264	1150	0	0	0	0	0	0	0	496	472	517	514	766	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2879	686	131	52	2	1	2058	2161	2623	2290	1802	1702	0	8	243	138	119	70	0	350	453	522	709	538	576	670	611	614	690	333	0	0	17	44	97	UJ1	V - VARA;	BALSAS
2880	1159	1301	1718	1722	1815	1	1	0	0	0	0	0	407	442	339	387	521	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	UJ1	V - VARA;	SAO LUIS
2881	801	526	595	595	645	2227	2593	2490	2532	2691	2722	0	12	23	45	65	61	0	86	329	358	377	682	743	1085	1147	1308	1292	114	0	0	5	12	10	UJ1	V - VARA;	BALSAS
2882	848	1013	919	754	818	2617	2568	4221	3105	3244	3371	296	283	366	232	82	7	656	576	412	1223	1386	374	399	448	442	459	543	0	9	45	262	162	190	UJ1	VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;	ARROIO DO MEIO
