event_log,algorithm,precision_alignment,fitness_alignment,precision_time,fitness_time,total_variants_log
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMf,0.1414,0.9597,20.1636,16.9347,227
BPI_Challenge_2014_Reference alignment.xes.gz,IMf,0.9231,0.8595,7.959,5.7029,515
Hospital Billing - Event Log.xes.gz,IMf,0.7475,0.821,17.2236,31.9458,1020
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,IMf,0.0805,0.8523,24.9552,85.3532,41
Road_Traffic_Fine_Management_Process.xes.gz,IMf,0.7347,0.7893,4.3306,6.0755,231
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMf,0.6512,0.935,0.9261,1.3636,99
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,IMf,-1,-1,7200.3128,7200.3031,456
5a_VARA_CIVEL_-_TJMT.xes,IMf,0.1946,0.6088,4.4434,84.4544,29
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes,IMf,0.4068,0.7852,845.5477,2794.3016,149
BPI Challenge 2017.xes.gz,IMf,0.3765,-1,3104.4004,7200.3321,15930
Sepsis Cases - Event Log.xes.gz,IMf,0.6937,0.7929,22.6058,123.1398,846
BPI_Challenge_2013_incidents.xes.gz,IMf,0.9236,0.7246,71.9908,45.5834,1511
BPI_Challenge_2013_open_problems.xes.gz,IMf,0.9502,0.9783,0.4042,0.5252,108
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,IMf,0.4592,0.6065,40.3295,244.6785,28
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMd,0.0426,0.9965,509.0919,257.1022,206
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,IMd,0.1375,0.9434,1.6703,6.58,116
Production_Data.xes.gz,IMd,0.067,0.921,175.2382,90.9538,221
activitylog_uci_detailed_weekends.xes.gz,IMd,0.0792,1,13.1459,5.0338,10
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMd,0.1731,0.9988,0.4279,0.1975,33
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMd,0.0764,0.978,113.7852,85.5524,36
edited_hh104_labour.xes.gz,IMd,0.0675,0.996,292.3221,62.2113,43
activitylog_uci_detailed_labour.xes.gz,IMd,0.0768,1,51.2646,15.6402,25
edited_hh102_labour.xes.gz,IMd,0.0718,0.9951,8.7299,0.9186,18
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMd,0.164,0.4088,0.7776,1.5886,53
BPI_Challenge_2014_Department control parcels.xes.gz,IMd,0.9646,0.9999,3.7794,4.2575,349
BPI_Challenge_2014_Control summary.xes.gz,IMd,0.8442,0.8963,1.368,0.9654,59
4a_VARA_CIVEL_-_TJGO.xes,IMd,0.7572,0.3084,0.2098,1.0431,98
BPI_Challenge_2014_Geo parcel document.xes.gz,IMd,0.1938,0.9982,4830.3652,2215.8388,9274
BPI_Challenge_2014_Entitlement application.xes.gz,IMd,0.0769,0.7156,123.5446,1078.8572,2553
BPI_Challenge_2014_Inspection.xes.gz,IMd,0.2344,0.8618,894.7861,2792.5783,3190
ElectronicInvoicingENG.xes.gz,IMd,0.2114,0.9766,1.4254,0.7321,7
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMd,0.0633,0.95,454.4485,1386.1078,47
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,IMd,0.0727,0.9924,115.652,62.1259,112
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,IMd,0.0628,-1,2226.2582,7200.1841,495
BPI_Challenge_2012.xes.gz,IMd,0.2995,0.7215,439.0708,7074.2525,4366
edited_hh110_weekends.xes.gz,IMd,0.0875,0.9555,5.6886,6.8188,6
DocumentProcessingENG.xes.gz,IMd,0.194,0.9142,0.987,0.4613,3
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.1156,0.7044,11.2539,72.8512,35
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.0752,0.9291,17.8948,49.2459,28
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMd,0.1711,0.5924,12.5029,101.4251,753
edited_hh104_weekends.xes.gz,IMd,0.0724,0.9842,53.2178,22.4148,18
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMd,0.06,0.9924,79.4287,41.8848,128
edited_hh110_labour.xes.gz,IMd,0.0763,0.9981,33.6065,13.1596,21
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMd,0.033,0.9909,579.2281,570.1454,52
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,IMd,0.118,0.7565,8.7859,42.8949,25
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,IMd,0.3485,0.7371,2.0516,5.9446,202
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMd,0.1169,0.9982,161.2602,114.1373,395
BPI_Challenge_2020_PermitLog.xes.gz,IMd,0.1283,0.711,49.2966,288.495,1478
BPI_Challenge_2019_log_IEEE.xes.gz,IMd,-1,-1,7203.8324,7200.3522,11973
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMd,0.1509,0.9369,22.1904,33.7828,227
BPI_Challenge_2014_Reference alignment.xes.gz,IMd,0.8302,0.8596,5.7502,2.9265,515
Hospital Billing - Event Log.xes.gz,IMd,0.625,0.9983,23.1215,22.1982,1020
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,IMd,0.0735,0.6931,6.2861,27.7431,41
Road_Traffic_Fine_Management_Process.xes.gz,IMd,0.4442,0.5796,2.4845,12.364,231
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMd,0.3376,0.9842,1.2462,1.2833,99
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,IMd,0.0415,0.9368,1697.8952,4945.2399,456
5a_VARA_CIVEL_-_TJMT.xes,IMd,0.1508,0.5364,3.4307,11.5796,29
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes,IMd,0.0701,0.9073,399.3892,2732.5078,149
BPI Challenge 2017.xes.gz,IMd,0.0998,-1,2005.0548,7200.1865,15930
Sepsis Cases - Event Log.xes.gz,IMd,0.374,0.7738,22.9017,112.5839,846
BPI_Challenge_2013_incidents.xes.gz,IMd,0.6257,1,126.6015,52.8198,1511
BPI_Challenge_2013_open_problems.xes.gz,IMd,0.9066,1,0.5401,0.6793,108
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,IMd,0.0987,0.7063,37.8119,215.8912,28
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,ETM,0.8603,-1,470.0398,7200.1184,206
activitylog_uci_detailed_weekends.xes.gz,ETM,0.9773,0.6348,6.4452,24.6431,10
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,ETM,0.8923,0.9615,0.4381,0.5237,33
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,ETM,0.8311,0.4869,217.5094,6859.6614,36
activitylog_uci_detailed_labour.xes.gz,ETM,0.9905,0.5943,33.0139,279.8459,25
BPI_Challenge_2014_Department control parcels.xes.gz,ETM,0.4675,0.9928,4.0445,2.8594,349
BPI_Challenge_2014_Control summary.xes.gz,ETM,0.6471,0.9975,1.0993,1.5682,59
4a_VARA_CIVEL_-_TJGO.xes,ETM,0.8239,0.9051,0.9404,2.2019,98
BPI_Challenge_2014_Geo parcel document.xes.gz,ETM,0.6923,0.8372,676.9896,5410.2393,9274
BPI_Challenge_2014_Entitlement application.xes.gz,ETM,0.8283,0.9369,313.4397,1722.9153,2553
BPI_Challenge_2014_Inspection.xes.gz,ETM,0.9975,-1,2862.693,7200.245,3190
ElectronicInvoicingENG.xes.gz,ETM,0.945,0.9238,1.4047,0.7109,7
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,ETM,0.9775,0.6019,54.4986,206.4691,112
BPI_Challenge_2012.xes.gz,ETM,-1,-1,213.362,47.6709,4366
DocumentProcessingENG.xes.gz,ETM,0.9085,0.8573,1.1531,0.5508,3
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.9877,0.5233,113.374,2437.9224,35
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.9659,0.5636,185.5248,3861.5909,28
BPI_Challenge_2020_InternationalDeclarations.xes.gz,ETM,0.6348,0.8453,13.9352,28.9926,753
edited_hh104_weekends.xes.gz,ETM,0.98,0.5953,110.4624,2093.6059,18
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,ETM,0.9956,0.533,143.47,1947.6557,128
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,ETM,0.9672,0.5917,45.524,461.4538,25
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,ETM,0.6796,0.9095,2.1551,3.6741,202
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,ETM,0.9136,0.7838,49.3429,289.0525,395
BPI_Challenge_2020_PermitLog.xes.gz,ETM,0.8139,0.7391,46.4671,222.0354,1478
BPI_Challenge_2019_log_IEEE.xes.gz,ETM,0.9831,0.8121,1951.5781,149.6606,11973
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,ETM,0.9656,0.5161,37.7013,153.9442,227
BPI_Challenge_2014_Reference alignment.xes.gz,ETM,0.62,0.9837,11.2427,22.7072,515
Hospital Billing - Event Log.xes.gz,ETM,0.5305,0.9454,41.2051,214.4781,1020
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,ETM,0.8301,0.4844,8.9883,30.1167,41
Road_Traffic_Fine_Management_Process.xes.gz,ETM,0.8264,0.84,2.3676,2.8953,231
BPI_Challenge_2020_DomesticDeclarations.xes.gz,ETM,0.7056,0.9594,1.5081,3.5575,99
5a_VARA_CIVEL_-_TJMT.xes,ETM,0.963,0.4605,23.8791,486.112,29
BPI Challenge 2017.xes.gz,ETM,0.9033,-1,2969.3053,7200.2854,15930
Sepsis Cases - Event Log.xes.gz,ETM,0.8582,0.7541,62.9181,475.2959,846
BPI_Challenge_2013_incidents.xes.gz,ETM,-1,-1,23.7256,8.1782,1511
BPI_Challenge_2013_open_problems.xes.gz,ETM,-1,-1,0.6238,0.6133,108
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,ETM,0.9955,-1,794.3399,7200.1722,28
