EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV,ABS_EDGES_ONLY_IN_LOG,ABS_EDGES_ONLY_IN_LOG_W,ABS_EDGES_ONLY_IN_LOG_BTW,ABS_EDGES_ONLY_IN_LOG_BTW_NORM,ABS_EDGES_ONLY_IN_LOG_CC,ABS_EDGES_ONLY_IN_MODEL,ABS_EDGES_ONLY_IN_MODEL_W,ABS_MAX_DEGREE,ABS_MAX_DEGREE_DIV,ABS_MAX_CLUSTER,ABS_MAX_CLUSTER_DIV,ABS_DEGREE_ENTROPY,ABS_DEGREE_ENTROPY_DIV,ABS_LINK_DENSITY_DIV,ABS_LOG_MAX_DEGREE,ABS_LOG_DEGREE_ENTROPY,ABS_LOG_LINK_DENSITY,ABS_MODEL_MAX_DEGREE,ABS_MODEL_DEGREE_ENTROPY,ABS_MODEL_LINK_DENSITY
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMd,0.9965,0.9964,0.9942,3.0909,0.0017,0.0056,0.303,-11.085,-8,0.7895,-0.0322,0.9678,-80.8315,-80.8315,5.4183,38,-53.7744,0.1788,30,-134.6059,0.9688
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,ETM,0.8093,0.9785,0.7853,17.1394,0.0095,0.0056,0.9643,0.9948,-32,0.1579,0,1,42.2646,42.2646,1.4234,38,-53.7744,0.1788,6,-11.5098,0.2545
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,IMd,0.981,0.997,0.9752,0,0,0.0017,0.2658,-12.9474,13,2,-0.2111,0.7625,-11.6355,-11.6355,2.9847,13,-35.8743,0.1508,26,-47.5098,0.4501
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMf,0.6712,0.995,0.6938,0,0,0.0411,0.6875,-0.2121,1,1.2,0,1,6,6,1.5407,5,-14.7549,0.2308,6,-8.7549,0.3556
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,IMd,0.9988,0.9986,0.9972,18,0.1154,0.0227,0.2909,-5.6359,5,2,0.5,2,-13.7744,-13.7744,4.3328,5,-14.7549,0.2308,10,-28.5293,1
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,ETM,0.9917,0.9922,0.9812,12,0.0769,0.0016,1,1,-2,0.6,-0.5,0,3.1453,3.1453,1.4441,5,-14.7549,0.2308,3,-11.6096,0.3333
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.6802,0.9665,0.6127,0,0,0.01,0.9355,0.9389,-36,0.122,0,1,55.7744,55.7744,3.7866,41,-61.7744,0.1462,5,-6,0.5536
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMd,0.9506,0.9831,0.8895,18.8333,0.0087,0.0047,0.4286,-3.3965,-21,0.4878,0,1,-18.9362,-18.9362,7.1819,41,-61.7744,0.1462,20,-80.7106,1.05
BPI_Challenge_2014_Control summary.xes.gz,IMf,0.8945,1,0.8419,7,0.125,0.0115,1,1,-2,0.6,0,1,0,0,0.8626,5,-6.7549,0.3036,3,-6.7549,0.2619
BPI_Challenge_2014_Control summary.xes.gz,IMd,0.8963,1,0.8449,10,0.1786,0.0231,0.6818,0.7785,0,1,0.25,1.5,-2,-2,1.2941,5,-6.7549,0.3036,5,-8.7549,0.3929
BPI_Challenge_2014_Control summary.xes.gz,ETM,0.9975,1,0.996,7,0.125,0,0.7692,0.4312,-1,0.8,-0.1,0.8,-1.2451,-1.2451,1.4272,5,-6.7549,0.3036,4,-8,0.4333
BPI_Challenge_2014_Department control parcels.xes.gz,IMf,0.7241,0.9998,0.6755,0,0,0.0236,1,1,-2,0.6,-0.5,0.5,2,2,1.1668,5,-2,0.5714,3,0,0.6667
BPI_Challenge_2014_Department control parcels.xes.gz,IMd,0.9999,0.9999,0.9995,10,0.2381,0.0008,0.9412,0.9976,-1,0.8,-0.3077,0.6923,-4.7549,-4.7549,1.4876,5,-2,0.5714,4,-6.7549,0.85
BPI_Challenge_2014_Department control parcels.xes.gz,ETM,0.9993,0.9999,0.9979,0,0,0.0028,0.8125,0.0991,0,1,-0.1,0.9,2,2,1.4001,5,-2,0.5714,5,0,0.8
ElectronicInvoicingENG.xes.gz,IMf,0.9328,1,0.9714,12,0.1333,0,1,1,-1,0.6667,0,-1,-12.4064,-12.4064,0.8501,3,-12,0.2222,2,-24.4064,0.1889
ElectronicInvoicingENG.xes.gz,IMd,0.9766,1,0.9843,12,0.1333,0,0.4,-1.8936,5,2.6667,0.5,-1,-9.6515,-9.6515,2.2502,3,-12,0.2222,8,-21.6515,0.5
ElectronicInvoicingENG.xes.gz,ETM,0.9418,1,0.9794,12,0.1333,0,1,1,0,1,0,-1,-6.3645,-6.3645,0.9001,3,-12,0.2222,3,-18.3645,0.2
4a_VARA_CIVEL_-_TJGO.xes,IMf,0.8146,0.9614,0.6097,25,0.0919,0.0181,0.8158,0.3648,-6,0.5385,-0.0769,0.9231,0.7549,0.7549,3.0383,13,-6.7549,0.2978,7,-6,0.9048
4a_VARA_CIVEL_-_TJGO.xes,IMd,0.8247,0.9629,0.6244,25,0.0919,0.0181,0.6875,0.2094,-6,0.5385,0,1,-8.7549,-8.7549,3.8378,13,-6.7549,0.2978,7,-15.5098,1.1429
4a_VARA_CIVEL_-_TJGO.xes,ETM,0.9723,0.973,0.9413,25,0.0919,0.0181,0.6571,-0.092,-4,0.6923,-0.0288,0.9712,0,0,3.2646,13,-6.7549,0.2978,9,-6.7549,0.9722
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,IMf,0.8075,0.9787,0.7382,29,0.0333,0.0214,0.7353,-0.0734,-14,0.3333,-0.119,0.8572,35.1612,35.1612,4.3302,21,-41.9161,0.1402,7,-6.7549,0.6071
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,ETM,0.7744,0.9794,0.7535,29,0.0333,0.0214,0.8235,0.5366,-16,0.2381,-0.3333,0.6,25.9161,25.9161,1.3324,21,-41.9161,0.1402,5,-16,0.1868
BPI_Challenge_2014_Entitlement application.xes.gz,IMf,0.9972,0.9998,0.9925,5,0.0119,0.0084,0.614,-1.2318,-3,0.8333,0.1212,1.1379,-8.2647,-8.2647,1.8134,18,-14,0.3929,15,-22.2647,0.7125
BPI_Challenge_2014_Entitlement application.xes.gz,IMd,0.7312,0.9999,0.7335,0,0,0.0007,0.4867,-3.3232,1,1.0556,-0.1321,0.8497,-26.0391,-26.0391,1.7615,18,-14,0.3929,19,-40.0391,0.6921
BPI_Challenge_2014_Entitlement application.xes.gz,ETM,0.9589,0.9996,0.9172,2,0.0048,0.0013,1,1,-12,0.3333,0.1212,1.1379,7.2451,7.2451,0.9544,18,-14,0.3929,6,-6.7549,0.375
BPI_Challenge_2014_Inspection.xes.gz,IMf,0.7903,0.9998,0.8452,15,0.0625,0.0014,0.5972,0.1043,-2,0.8333,-0.2581,0.7419,3.2451,3.2451,1.2659,12,-14,0.3125,10,-10.7549,0.3956
BPI_Challenge_2014_Inspection.xes.gz,IMd,0.8781,0.9999,0.9011,15,0.0625,0.008,0.3563,-2.5049,2,1.1667,-0.156,0.844,-23.9742,-23.9742,2.32,12,-14,0.3125,14,-37.9742,0.725
BPI_Challenge_2014_Inspection.xes.gz,ETM,0.8615,0.9997,0.8364,27,0.1125,0.008,1,1,-8,0.3333,-0.5,0.5,-10.4064,-10.4064,0.4944,12,-14,0.3125,4,-24.4064,0.1545
BPI_Challenge_2014_Geo parcel document.xes.gz,IMf,0.9624,0.9999,0.9474,19,0.0699,0.0115,0.7576,0.4119,-4,0.7333,-0.2321,0.7679,-13.5098,-13.5098,1.2787,15,-6,0.4963,11,-19.5098,0.6346
BPI_Challenge_2014_Geo parcel document.xes.gz,IMd,0.9982,1,0.9983,43.6667,0.1605,0.0157,0.6105,-1.0755,-1,0.9333,-0.0545,0.9455,-25.0196,-25.0196,1.8231,15,-6,0.4963,14,-31.0196,0.9048
BPI_Challenge_2014_Geo parcel document.xes.gz,ETM,0.8561,0.9998,0.7908,0,0,0.0088,0.9545,0.9514,-10,0.3333,0,1,1.2451,1.2451,1.0554,15,-6,0.4963,5,-4.7549,0.5238
BPI_Challenge_2012.xes.gz,IMf,0.7349,0.9998,0.8052,0,0,0.0145,0.4368,-2.1082,4,1.2667,-0.0385,0.9615,0,0,1.5064,15,-23.5098,0.2283,19,-23.5098,0.3439
BPI_Challenge_2012.xes.gz,IMd,0.8079,0.9999,0.8549,0,0,0.0145,0.3555,-3.9233,4,1.2667,-0.2314,0.7686,-38.2056,-38.2056,2.6058,15,-23.5098,0.2283,19,-61.7154,0.5949
BPI_Challenge_2012.xes.gz,ETM,0,0.9995,0,0,0,0.0145,0,0.9525,-12,0.2,-0.5,0.5,-26.2646,-26.2646,0.3456,15,-23.5098,0.2283,3,-49.7744,0.0789
edited_hh110_weekends.xes.gz,IMf,0.9588,0.9813,0.9465,9,0.0429,0.0209,0.5179,-2.3583,4,1.4444,-0.1,0.9,0,0,1.9884,9,-10,0.3095,13,-10,0.6154
edited_hh110_weekends.xes.gz,IMd,0.9562,0.984,0.9439,9,0.0429,0.0209,0.3711,-5.5508,5,1.5556,-0.0776,0.9224,-12.7549,-12.7549,2.8226,9,-10,0.3095,14,-22.7549,0.8736
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.7618,0.9544,0.68,0,0,0.0134,0.4027,-3.6361,-2,0.9091,-0.1346,0.8654,-16.4644,-16.4644,2.9225,22,-20.7549,0.2387,20,-37.2193,0.6976
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.7396,0.9228,0.6975,0,0,0.0139,0.902,0.4805,-13,0.4091,0,1,-12,-12,0.6246,22,-20.7549,0.2387,9,-32.7549,0.1491
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMf,0.9273,0.9987,0.9212,0,0,0.0022,0.3684,-4.7949,-11,0.5769,-0.1667,0.8333,-7.789,-7.789,2.3003,26,-42.2647,0.1765,15,-50.0537,0.406
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMd,0.6286,0.9992,0.8003,115.3333,0.0969,0.0015,0.1992,-14.0042,6,1.2308,-0.2277,0.7723,-51.4868,-51.4868,4.2153,26,-42.2647,0.1765,32,-93.7515,0.744
BPI_Challenge_2020_InternationalDeclarations.xes.gz,ETM,0.8596,0.9979,0.807,0,0,0.0022,0.7719,0.4389,-20,0.2308,-0.3333,0.6667,6.3904,6.3904,0.6992,26,-42.2647,0.1765,6,-35.8743,0.1234
DocumentProcessingENG.xes.gz,IMf,0.8455,1,0.9341,16,0.1455,0,1,1,-1,0.6667,0,-1,-6.0419,-6.0419,0.9895,3,-18.3645,0.1909,2,-24.4064,0.1889
DocumentProcessingENG.xes.gz,IMd,0.9142,1,0.9341,16,0.1455,0,0.3778,-1.7798,5,2.6667,0.5,-1,-3.287,-3.287,2.6192,3,-18.3645,0.1909,8,-21.6515,0.5
DocumentProcessingENG.xes.gz,ETM,0.896,1,0.983,16,0.1455,0,0.9524,0.9034,0,1,0.5,-1,0,0,1,3,-18.3645,0.1909,3,-18.3645,0.1909
edited_hh110_labour.xes.gz,IMf,0.7797,0.9575,0.7279,1.5,0.0049,0.0244,0.8958,0.46,-5,0.5833,0.0053,1.0059,5.5098,5.5098,1.9807,12,-15.5098,0.3366,7,-10,0.6667
edited_hh110_labour.xes.gz,IMd,0.9981,0.9972,0.9972,28.5,0.0931,0.0134,0.396,-6.2941,4,1.3333,0.1053,1.1177,-21.0195,-21.0195,2.7305,12,-15.5098,0.3366,16,-36.5293,0.9191
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMf,0.936,0.9625,0.9042,47.5667,0.045,0.0147,0.5622,-1.5308,-8,0.6522,-0.1553,0.8447,20.7549,20.7549,3.2245,23,-34.2647,0.1875,15,-13.5098,0.6046
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.9291,0.9732,0.9113,47.5667,0.045,0.0147,0.3922,-5.9253,-3,0.8696,-0.1099,0.8901,-21.0383,-21.0383,4.2411,23,-34.2647,0.1875,20,-55.303,0.7952
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.842,0.9365,0.7528,47.5667,0.045,0.0147,1,1,-17,0.2609,0,1,23.5098,23.5098,1.3333,23,-34.2647,0.1875,6,-10.7549,0.25
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.7599,0.9695,0.6553,0,0,0.0076,0.6486,0.6458,-36,0.122,0,1,59.1354,59.1354,2.689,41,-71.1354,0.1251,5,-12,0.3364
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMd,0.991,0.9946,0.9837,104.825,0.0506,0.0043,0.1934,-11.4145,-7,0.8293,0,1,-82.4447,-82.4447,7.9936,41,-71.1354,0.1251,34,-153.5801,1
edited_hh104_weekends.xes.gz,IMf,0.6878,0.9204,0.6529,4.9695,0.0131,0.0113,0.9545,0.9347,-10,0.375,-0.125,0.875,-2,-2,0.8398,16,-8,0.4763,6,-10,0.4
edited_hh104_weekends.xes.gz,IMd,0.9844,0.9903,0.9759,11,0.0289,0.0142,0.6406,-2.575,0,1,0,1,-47.303,-47.303,1.9761,16,-8,0.4763,16,-55.303,0.9412
edited_hh104_weekends.xes.gz,ETM,0.7401,0.929,0.7554,41.25,0.1086,0.0165,0.9661,0.9336,-8,0.5,0,1,-12.3645,-12.3645,0.4554,16,-8,0.4763,8,-20.3645,0.2169
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMf,0.7283,0.9596,0.6402,0,0,0.0036,0.5938,0.5476,-18,0.3793,-0.24,0.76,34.3645,34.3645,1.1746,29,-57.1194,0.1781,11,-22.7549,0.2092
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMd,0.9927,0.9921,0.987,46.3333,0.0313,0.0019,0.291,-7.7177,-2,0.931,0,1,-65.092,-65.092,5.6148,29,-57.1194,0.1781,27,-122.2114,1
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,ETM,0.7507,0.9585,0.6827,21.1,0.0142,0.0077,0.9697,0.9814,-21,0.2759,0,1,39.1194,39.1194,1.1875,29,-57.1194,0.1781,8,-18,0.2115
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMf,0.9597,0.99,0.9459,5.4,0.0067,0.0083,0.6932,-1.0005,-6,0.7391,0,1,-30.5959,-30.5959,2.5903,23,-21.5098,0.298,17,-52.1057,0.7719
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMd,0.9395,0.9912,0.9143,0,0,0.0195,0.5249,-2.7902,-4,0.8261,-0.0476,0.9524,-44.4902,-44.4902,3.1966,23,-21.5098,0.298,19,-66,0.9526
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,ETM,0.6439,0.9644,0.5747,0.5,0.0006,0.0278,0.9697,0.9779,-18,0.2174,-0.5,0.5,-6.1417,-6.1417,0.4614,23,-21.5098,0.298,5,-27.6515,0.1375
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,IMd,0.7638,0.9741,0.7718,1.5,0.0023,0.0223,0.3442,-6.4779,4,1.2222,-0.1185,0.8815,-38.9937,-38.9937,3.1465,18,-24.3645,0.2738,22,-63.3582,0.8615
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,ETM,0.7568,0.9102,0.696,0,0,0.0254,0.973,0.835,-12,0.3333,0,1,2.8547,2.8547,0.5632,18,-24.3645,0.2738,6,-21.5098,0.1542
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,IMf,0.9406,0.9949,0.918,11,0.0126,0.002,0.4383,-2.6673,3,1.2308,-0.066,0.934,4.3904,4.3904,2.1198,13,-29.5098,0.2011,16,-25.1194,0.4263
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,IMd,0.8936,0.995,0.8519,11,0.0126,0.002,0.3645,-3.9429,10,1.7692,-0.1852,0.8148,3.2451,3.2451,1.995,13,-29.5098,0.2011,23,-26.2647,0.4012
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,ETM,0.9097,0.9926,0.8769,11,0.0126,0.002,0.6154,0.3327,-9,0.3077,-0.6,0.4,2,2,0.7131,13,-29.5098,0.2011,4,-27.5098,0.1434
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,IMf,0.8548,0.9473,0.8695,4.7833,0.0031,0.0258,0.582,-5.174,-4,0.84,-0.0479,0.9521,27.4637,27.4637,4.4761,25,-59.0733,0.1718,21,-31.6096,0.769
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,IMd,0.7099,0.9367,0.7034,4.7833,0.0031,0.0258,0.3848,-7.677,0,1,-0.2345,0.7655,-9.9463,-9.9463,4.3364,25,-59.0733,0.1718,25,-69.0196,0.745
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,ETM,0.6121,0.8431,0.4595,45.1952,0.029,0.0257,0.9375,0.9143,-20,0.2,-0.5,0.5,35.0733,35.0733,0.8871,25,-59.0733,0.1718,5,-24,0.1524
BPI_Challenge_2014_Reference alignment.xes.gz,IMf,0.8595,1,0.821,0,0,0.0719,0.8125,0.7458,-1,0.8,-0.0417,0.9333,0,0,0.8001,5,-4,0.4762,4,-4,0.381
BPI_Challenge_2014_Reference alignment.xes.gz,IMd,0.8596,1,0.8216,0,0,0.0719,0.8095,0.7237,-1,0.8,0.125,1.2,-2.7549,-2.7549,1.05,5,-4,0.4762,4,-6.7549,0.5
BPI_Challenge_2014_Reference alignment.xes.gz,ETM,0.9996,1,0.9982,0,0,0.0122,0.6667,0.2327,0,1,0.0417,1.0667,-2.7549,-2.7549,1.26,5,-4,0.4762,5,-6.7549,0.6
Hospital Billing - Event Log.xes.gz,IMf,0.8226,0.9999,0.8836,0,0,0.0004,0.7885,-0.1441,-4,0.7333,-0.0333,0.96,-6,-6,1.0719,15,-8,0.462,11,-14,0.4952
Hospital Billing - Event Log.xes.gz,IMd,0.9983,1,0.9952,0,0,0.0101,0.6633,-2.1061,0,1,0.0369,1.0443,-34.8086,-34.8086,1.7948,15,-8,0.462,15,-42.8086,0.8292
Hospital Billing - Event Log.xes.gz,ETM,0.9568,0.9998,0.9363,88.5,0.2588,0.001,0.5806,-1.7063,-6,0.6,0.1364,1.1637,4,4,1.8639,15,-8,0.462,9,-4,0.8611
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMf,0.886,0.9965,0.8787,0,0,0.0014,0.401,-3.2068,-1,0.9333,-0.1111,0.8889,-13.7744,-13.7744,3.4498,15,-18.7549,0.2319,14,-32.5293,0.8
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMd,0.9982,0.9983,0.9961,0,0,0.0014,0.3189,-8.3116,3,1.2,0,1,-50.732,-50.732,4.552,15,-18.7549,0.2319,18,-69.4869,1.0556
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,ETM,0.893,0.9933,0.8633,3.6667,0.0066,0.0105,0.9677,0.9328,-9,0.4,0,1,8,8,1.2152,15,-18.7549,0.2319,6,-10.7549,0.2818
Road_Traffic_Fine_Management_Process.xes.gz,IMf,0.9176,1,0.9254,4,0.0303,0.0054,0.7303,-1.1929,-1,0.9091,-0.0953,0.8999,-6,-6,1.141,11,-4,0.5909,10,-10,0.6742
Road_Traffic_Fine_Management_Process.xes.gz,IMd,0.7948,1,0.7663,0,0,0.0072,0.697,-1.6542,-1,0.9091,-0.1032,0.8916,-16.2647,-16.2647,1.2693,11,-4,0.5909,10,-20.2647,0.75
Road_Traffic_Fine_Management_Process.xes.gz,ETM,0.84,0.9999,0.8751,4,0.0303,0.0054,0.85,0.8422,-8,0.2727,-0.6191,0.35,-4,-4,0.4701,11,-4,0.5909,3,-8,0.2778
BPI_Challenge_2020_PermitLog.xes.gz,IMd,0.7368,0.9979,0.736,0,0,0.0011,0.3011,-16.8329,6,1.1765,-0.0692,0.9308,-107.0769,-107.0769,3.4986,34,-41.7744,0.2142,40,-148.8513,0.7494
BPI_Challenge_2020_PermitLog.xes.gz,ETM,0.7502,0.9944,0.6909,5.2202,0.002,0.0024,0.9216,0.8099,-25,0.2647,0,1,15.368,15.368,0.8754,34,-41.7744,0.2142,9,-26.4064,0.1875
BPI_Challenge_2019_log_IEEE.xes.gz,IMd,0.9669,0.9999,0.9418,42.5833,0.0236,0,0.494,-9.1454,0,1,0,1,-111.851,-111.851,3.4726,29,-22.7549,0.2979,29,-134.6059,1.0345
BPI_Challenge_2019_log_IEEE.xes.gz,ETM,0.8139,0.9997,0.6204,0,0,0.0035,1,1,-25,0.1379,-0.4,0.6,14.7549,14.7549,0.8993,29,-22.7549,0.2979,4,-8,0.2679
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes,IMf,0.7801,0.9824,0.7686,85.0865,0.0218,0.0017,0.8229,0.7428,-41,0.18,0,1,92.155,92.155,3.8219,50,-108.9099,0.1196,9,-16.7549,0.4571
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes,IMd,0.9953,0.9971,0.9903,85.0865,0.0218,0.0017,0.191,-17.8221,-4,0.92,0,1,-138.2235,-138.2235,8.5426,50,-108.9099,0.1196,46,-247.1334,1.0217
Sepsis Cases - Event Log.xes.gz,IMf,0.7818,0.995,0.7614,0,0,0.0296,0.7571,0.4107,-8,0.5294,-0.2021,0.7877,-10.7549,-10.7549,0.6716,17,-8.7549,0.4963,9,-19.5098,0.3333
