EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
ElectronicInvoicingENG	IMf	0.32	0.9328
ElectronicInvoicingENG	IMd	0.33	0.9766
ElectronicInvoicingENG	ETM	0.33	0.9238
4a_VARA_CIVEL_-_TJGO	IMf	0.14	0.8087
4a_VARA_CIVEL_-_TJGO	IMd	0.08	0.5402
4a_VARA_CIVEL_-_TJGO	ETM	0.22	0.9051
BPI_Challenge_2014_Geo parcel document	IMf	33.39	0.9584
BPI_Challenge_2014_Geo parcel document	IMd	36.26	0.9982
BPI_Challenge_2014_Geo parcel document	ETM	19.65	0.8367
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.65	0.8075
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	4.24	0.5597
BPI_Challenge_2014_Entitlement application	IMf	8.93	0.9918
BPI_Challenge_2014_Entitlement application	IMd	49.91	0.7307
BPI_Challenge_2014_Entitlement application	ETM	52.09	0.9225
BPI_Challenge_2014_Department control parcels	IMf	0.43	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.33	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.36	0.9928
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	1.27	0.5251
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	2.13	0.9506
BPI_Challenge_2014_Inspection	IMf	19.27	0.7779
BPI_Challenge_2014_Inspection	IMd	22.43	0.8618
BPI_Challenge_2014_Inspection	ETM	19.79	0.6713
BPI_Challenge_2014_Control summary	IMf	0.58	0.8945
BPI_Challenge_2014_Control summary	IMd	0.46	0.8963
BPI_Challenge_2014_Control summary	ETM	0.46	0.9975
DocumentProcessingENG	IMf	0.39	0.8455
DocumentProcessingENG	IMd	0.39	0.9142
DocumentProcessingENG	ETM	0.4	0.8573
BPI_Challenge_2020_InternationalDeclarations	IMf	2.78	0.9272
BPI_Challenge_2020_InternationalDeclarations	IMd	45.82	0.6286
BPI_Challenge_2020_InternationalDeclarations	ETM	3.15	0.8446
edited_hh104_weekends	IMf	0.71	0.675
edited_hh104_weekends	IMd	0.4	0.9844
edited_hh104_weekends	ETM	8.7	0.5678
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	2.54	0.7214
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	2.68	0.9927
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	4.22	0.4878
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.94	0.7536
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	5.3	0.991
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	2.47	0.7044
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	6.79	0.455
BPI_Challenge_2012	IMf	207.57	0.6209
BPI_Challenge_2012	IMd	105.5	0.7215
BPI_Challenge_2012	ETM	6.49	0.0
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	1.22	0.9369
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.97	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	8.57	0.4857
edited_hh110_weekends	IMf	15.75	0.9188
edited_hh110_weekends	IMd	0.39	0.9562
edited_hh110_labour	IMf	0.51	0.7628
edited_hh110_labour	IMd	0.4	0.9981
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.68	0.8523
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	1.83	0.7099
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.88	0.4689
BPI_Challenge_2014_Reference alignment	IMf	0.56	0.8595
BPI_Challenge_2014_Reference alignment	IMd	0.6	0.8596
BPI_Challenge_2014_Reference alignment	ETM	0.78	0.9829
BPI_Challenge_2020_PermitLog	IMd	146.96	0.7368
BPI_Challenge_2020_PermitLog	ETM	13.38	0.7003
Road_Traffic_Fine_Management_Process	IMf	7.44	0.7893
Road_Traffic_Fine_Management_Process	IMd	2.29	0.5796
Road_Traffic_Fine_Management_Process	ETM	0.86	0.84
Hospital Billing - Event Log	IMf	5.07	0.821
Hospital Billing - Event Log	IMd	6.1	0.9983
Hospital Billing - Event Log	ETM	46.33	0.9454
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	1.35	0.9597
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	1.86	0.9395
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	4.11	0.4508
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	2.36	0.7618
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	2.95	0.5462
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	5.61	0.6048
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	2.99	0.9982
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	3.25	0.7296
BPI_Challenge_2020_PrepaidTravelCost	IMf	7.76	0.8486
BPI_Challenge_2020_PrepaidTravelCost	IMd	1.19	0.7663
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.45	0.9095
BPI_Challenge_2019_log_IEEE	IMd	191.9	0.9663
BPI_Challenge_2019_log_IEEE	ETM	20.44	0.8121
5a_VARA_CIVEL_-_TJMT	IMf	8.13	0.6088
5a_VARA_CIVEL_-_TJMT	IMd	0.33	0.5364
5a_VARA_CIVEL_-_TJMT	ETM	1.61	0.4301
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.36	0.6065
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.53	0.7127
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	29.47	0.4778
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	23.67	0.7852
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	48.34	0.9092
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	126.97	0.9377
BPI Challenge 2017	IMf	525.08	0.8468
BPI Challenge 2017	IMd	711.82	0.8612
BPI Challenge 2017	ETM	266.29	0.8289
BPI_Challenge_2020_DomesticDeclarations	IMf	0.83	0.935
BPI_Challenge_2020_DomesticDeclarations	IMd	0.27	0.9867
BPI_Challenge_2020_DomesticDeclarations	ETM	0.36	0.9594
Sepsis Cases - Event Log	IMf	3.21	0.7929
Sepsis Cases - Event Log	IMd	11.76	0.794
Sepsis Cases - Event Log	ETM	10.01	0.737
BPI_Challenge_2013_incidents	IMf	1.0	0.7246
BPI_Challenge_2013_incidents	IMd	0.94	1.0
BPI_Challenge_2013_incidents	ETM	1.13	0.0
BPI_Challenge_2013_open_problems	IMf	0.12	0.9783
BPI_Challenge_2013_open_problems	IMd	0.09	1.0
BPI_Challenge_2013_open_problems	ETM	0.16	0.0
