EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV,ABS_EDGES_ONLY_IN_LOG,ABS_EDGES_ONLY_IN_LOG_W,ABS_EDGES_ONLY_IN_LOG_BTW,ABS_EDGES_ONLY_IN_LOG_BTW_NORM,ABS_EDGES_ONLY_IN_LOG_CC,ABS_EDGES_ONLY_IN_MODEL,ABS_EDGES_ONLY_IN_MODEL_W,ABS_MAX_DEGREE,ABS_MAX_DEGREE_DIV,ABS_MAX_CLUSTER,ABS_MAX_CLUSTER_DIV,ABS_DEGREE_ENTROPY,ABS_DEGREE_ENTROPY_DIV,ABS_LINK_DENSITY_DIV,ABS_LOG_MAX_DEGREE,ABS_LOG_DEGREE_ENTROPY,ABS_LOG_LINK_DENSITY,ABS_MODEL_MAX_DEGREE,ABS_MODEL_DEGREE_ENTROPY,ABS_MODEL_LINK_DENSITY
BPI_Challenge_2014_Geo parcel document.xes.gz,IMd,0.9953,0.9999,0.9968,279.5,0.0152,0,0.221,-3.5795,1,1.0769,0,1,-668.6051,-668.6051,1,13,-401.4142,0.033,14,-1070.0193,0.066
BPI_Challenge_2014_Geo parcel document.xes.gz,ETM,0.7188,0.9991,0.7075,135,0.0074,0,0.9,0.9416,-8,0.3846,0,1,353.3563,353.3563,1,13,-401.4142,0.033,5,-48.0579,0.1186
BPI_Challenge_2012.xes.gz,IMf,0.5637,0.9992,0.7087,263,0.0139,0.0008,0.1653,-1.2845,4,1.2857,-0.2619,0.4762,-73.9436,-73.9436,1,14,-546.3112,0.0189,18,-620.2548,0.0278
BPI_Challenge_2012.xes.gz,IMd,0.6234,0.9996,0.7575,0,0,0.0004,0.1228,-3.2767,5,1.3571,0.5,2,-840.0756,-840.0756,1,14,-546.3112,0.0189,19,-1386.3868,0.0221
BPI_Challenge_2012.xes.gz,ETM,0,0.9988,0,263,0.0139,0.0008,0,0.9546,-12,0.1429,-0.5,0,424.2037,424.2037,1,14,-546.3112,0.0189,2,-122.1075,0.0387
edited_hh110_weekends.xes.gz,IMd,0.8992,0.9737,0.9158,228,0.0531,0,0.0542,-7.9684,6,1.75,0.2792,-1,-290.1749,-290.1749,1,8,-313.5798,0.0238,14,-603.7547,0.0667
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.4328,0.8381,0.4577,1551.4452,0.0313,0.0011,0.059,-4.3964,2,1.1111,0.5,2,-575.1662,-575.1662,1,18,-1025.7973,0.0121,20,-1600.9635,0.0444
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.4041,0.7699,0.4508,1551.4452,0.0313,0.0011,0.85,0.9301,-13,0.2778,0,1,829.8527,829.8527,1,18,-1025.7973,0.0121,5,-195.9446,0.0302
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMf,0.8479,0.9965,0.8749,3235.5,0.073,0,0.0713,-5.0485,-8,0.6364,0.3333,2.9994,-591.2144,-591.2144,1,22,-977.8268,0.0116,14,-1569.0412,0.037
BPI_Challenge_2020_InternationalDeclarations.xes.gz,IMd,0.3629,0.9969,0.6377,260.5,0.0059,0,0.0167,-11.0879,10,1.4545,0.0855,1.5129,-3915.591,-3915.591,1,22,-977.8268,0.0116,32,-4893.4178,0.0273
BPI_Challenge_2020_InternationalDeclarations.xes.gz,ETM,0.6884,0.9947,0.6513,3235.5,0.073,0,0.4885,0.5049,-18,0.1818,0.0666,1.3995,792.058,792.058,1,22,-977.8268,0.0116,4,-185.7688,0.0396
DocumentProcessingENG.xes.gz,IMf,0.8249,1,0.9082,70,0.1515,0,0.5625,0.2911,0,1,0.5,-1,28.1981,28.1981,1,2,-83.0587,0.0519,2,-54.8606,0.1046
DocumentProcessingENG.xes.gz,IMd,0.8674,1,0.9082,70,0.1515,0,0.1091,-2.2903,6,4,0.2857,-1,-33.3379,-33.3379,1,2,-83.0587,0.0519,8,-116.3966,0.0797
DocumentProcessingENG.xes.gz,ETM,0.8581,1,0.9541,70,0.1515,0,0.75,0.82,0,1,0.5,-1,15.3015,15.3015,1,2,-83.0587,0.0519,2,-67.7572,0.0606
edited_hh110_labour.xes.gz,IMf,0.6682,0.9288,0.669,103,0.0096,0,0.2593,-1.3638,-4,0.6364,0.3333,-1,431.9873,431.9873,1,11,-583.9398,0.0161,7,-151.9525,0.1148
edited_hh110_labour.xes.gz,IMd,0.9963,0.9958,0.9958,306,0.0286,0,0.0475,-10.1383,5,1.4545,0.2736,-1,-840.648,-840.648,1,11,-583.9398,0.0161,16,-1424.5878,0.0557
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,IMd,0.8273,0.9301,0.8491,786,0.0199,0.0038,0.0593,-9.2484,8,1.6667,-0.5,0.5,-1330.6363,-1330.6363,1,12,-916.4141,0.0126,20,-2247.0504,0.0482
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,ETM,0.5442,0.8294,0.5667,786,0.0199,0.0038,0.9701,0.9838,-8,0.3333,-0.5,0.5,786.697,786.697,1,12,-916.4141,0.0126,4,-129.7171,0.0429
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,IMf,0.5335,0.9073,0.5035,1433.6411,0.0213,0.0005,0.4746,0.6421,-24,0.1724,-0.0833,0.8334,1162.7295,1162.7295,1,29,-1240.7777,0.0115,5,-78.0482,0.0839
edited_hh104_weekends.xes.gz,IMf,0.5438,0.852,0.5159,333.6667,0.0101,0,0.325,-0.5431,-9,0.4,0.5,-1,1097.3772,1097.3772,1,15,-1214.6385,0.0099,6,-117.2613,0.101
edited_hh104_weekends.xes.gz,IMd,0.9711,0.9841,0.9683,181,0.0055,0,0.0812,-8.1973,1,1.0667,0.2736,-1,-544.662,-544.662,1,15,-1214.6385,0.0099,16,-1759.3005,0.0558
edited_hh104_weekends.xes.gz,ETM,0.4488,0.8571,0.5522,333.6667,0.0101,0,0.8506,0.873,-8,0.4667,0.1667,-1,947.9953,947.9953,1,15,-1214.6385,0.0099,7,-266.6432,0.0246
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMf,0.4947,0.8762,0.506,1506.1108,0.0215,0.001,0.3826,0.1804,-15,0.4231,-0.6607,0.3393,1093.5448,1093.5448,1,26,-1283.5741,0.0114,11,-190.0293,0.0553
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,IMd,0.9823,0.985,0.9815,816.8762,0.0117,0,0.036,-12.8351,1,1.0385,-0.5,0.5,-5491.0966,-5491.0966,1,26,-1283.5741,0.0114,27,-6774.6707,0.0345
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,ETM,0.4765,0.8688,0.4611,65.45,0.0009,0.0007,0.8679,0.9832,-20,0.2308,-0.8,0.2,1169.2962,1169.2962,1,26,-1283.5741,0.0114,6,-114.2779,0.0472
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMf,0.8933,0.9753,0.9132,983.6833,0.0167,0.0002,0.1844,-5.4947,0,1,-0.2253,0.5494,-633.6416,-633.6416,1,17,-1002.7321,0.0151,17,-1636.3737,0.0571
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,IMd,0.8374,0.9739,0.8518,358.9167,0.0061,0,0.1167,-7.1746,2,1.1176,0,1,-1689.2603,-1689.2603,1,17,-1002.7321,0.0151,19,-2691.9924,0.0474
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,ETM,0.2839,0.8628,0.3516,242,0.0041,0,0.9216,0.9894,-12,0.2941,-0.5,0,890.0215,890.0215,1,17,-1002.7321,0.0151,5,-112.7106,0.0455
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,IMd,0.3847,0.8874,0.5569,9,0.0003,0,0.038,-8.8183,10,1.8333,0.5,2,-1868.6686,-1868.6686,1,12,-816.1722,0.0137,22,-2684.8408,0.0424
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,ETM,0.4182,0.7648,0.4624,627.1667,0.0197,0.0044,0.9365,0.9508,-8,0.3333,0,1,690.9788,690.9788,1,12,-816.1722,0.0137,4,-125.1934,0.0448
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,IMd,0.6131,0.9885,0.7056,69,0.0022,0,0.083,-2.1322,10,1.8333,0,1,150.3957,150.3957,1,12,-859.2319,0.0115,22,-708.8362,0.0285
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,ETM,0.857,0.9857,0.8317,7052.5,0.229,0,0.4583,0.584,-8,0.3333,-0.5,0,730.1586,730.1586,1,12,-859.2319,0.0115,4,-129.0733,0.0462
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,IMd,0.3501,0.7955,0.4949,1107,0.0154,0,0.0474,-8.8705,9,1.5625,-0.2345,0.531,-1257.1955,-1257.1955,1,16,-1399.2324,0.009,25,-2656.4279,0.0351
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,ETM,0.3172,0.6045,0.2423,1107,0.0154,0,0.8333,0.9801,-13,0.1875,-0.5,0,1279.4734,1279.4734,1,16,-1399.2324,0.009,3,-119.759,0.0398
BPI_Challenge_2014_Reference alignment.xes.gz,IMf,0.6989,0.9999,0.7146,157,0.3738,0,0.7179,0.7973,-1,0.8,-0.7,0.3,10.3645,10.3645,1,5,-34.3645,0.119,4,-24,0.1434
BPI_Challenge_2014_Reference alignment.xes.gz,IMd,0.6992,1,0.7156,20,0.0476,0,0.5972,0.7249,-1,0.8,-0.6667,0.3333,-20.5712,-20.5712,1,5,-34.3645,0.119,4,-54.9357,0.1558
BPI_Challenge_2014_Reference alignment.xes.gz,ETM,0.9901,0.9999,0.9917,157,0.3738,0,0.4667,0.4391,0,1,-0.5,0.5,-1.1453,-1.1453,1,5,-34.3645,0.119,5,-35.5098,0.1316
Hospital Billing - Event Log.xes.gz,IMf,0.7145,0.9996,0.8054,241,0.0096,0,0.2967,-0.2253,-3,0.7857,-0.219,0.562,287.9131,287.9131,1,14,-610.8522,0.019,11,-322.9391,0.0701
Hospital Billing - Event Log.xes.gz,IMd,0.9974,0.9999,0.9948,163,0.0065,0,0.1724,-2.2141,1,1.0714,0,1,-651.353,-651.353,1,14,-610.8522,0.019,15,-1262.2052,0.0609
Hospital Billing - Event Log.xes.gz,ETM,0.9302,0.9994,0.9198,0,0,0,0.2337,-0.9547,-6,0.5714,-0.2091,0.5818,434.3743,434.3743,1,14,-610.8522,0.019,8,-176.4779,0.0865
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMf,0.5996,0.9894,0.7712,940,0.0569,0,0.089,-2.9151,0,1,0,1,-503.3928,-503.3928,1,14,-503.2575,0.0205,14,-1006.6503,0.054
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,IMd,0.9963,0.9971,0.9948,471,0.0285,0,0.0533,-10.2682,4,1.2857,-0.2282,0.5436,-1998.3547,-1998.3547,1,14,-503.2575,0.0205,18,-2501.6122,0.0529
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,ETM,0.7558,0.9808,0.7307,940,0.0569,0,0.807,0.8839,-10,0.2857,0,1,417.5003,417.5003,1,14,-503.2575,0.0205,4,-85.7572,0.0575
Road_Traffic_Fine_Management_Process.xes.gz,IMf,0.748,0.9999,0.85,63,0.0102,0,0.3112,-0.3669,2,1.2857,-0.0667,0.5999,-58.4275,-58.4275,1,7,-246.2521,0.0357,9,-304.6796,0.0658
Road_Traffic_Fine_Management_Process.xes.gz,IMd,0.4822,0.9999,0.5387,162.5,0.0264,0,0.2331,-0.5279,3,1.4286,0.3333,2.9994,-51.6491,-51.6491,1,7,-246.2521,0.0357,10,-297.9012,0.0568
Road_Traffic_Fine_Management_Process.xes.gz,ETM,0.7511,0.9998,0.8029,9,0.0015,0,0.6667,0.8663,-4,0.4286,0.1833,2.0996,199.2325,199.2325,1,7,-246.2521,0.0357,3,-47.0196,0.1143
BPI_Challenge_2020_PermitLog.xes.gz,ETM,0.5668,0.9849,0.5258,599.25,0.0019,0,0.5357,0.8116,-22,0.1852,0,1,3215.1332,3215.1332,1,27,-3372.4613,0.0049,5,-157.3281,0.0422
BPI_Challenge_2019_log_IEEE.xes.gz,IMd,0.9296,0.9998,0.9255,1290.26,0.0044,0,0.112,-10.2779,5,1.2083,0.5,2,-4710.2873,-4710.2873,1,24,-2478.5406,0.0097,29,-7188.8279,0.0304
BPI_Challenge_2019_log_IEEE.xes.gz,ETM,0.6769,0.9987,0.5487,0,0,0.0001,0.9091,0.982,-21,0.125,-0.5,0,2434.5015,2434.5015,1,24,-2478.5406,0.0097,3,-44.0391,0.0917
Sepsis Cases - Event Log.xes.gz,IMf,0.6224,0.98,0.5877,0,0,0.0016,0.4417,0.503,-7,0.5625,-0.2308,0.5384,230.2315,230.2315,1,16,-442.1232,0.0267,9,-211.8917,0.0656
Sepsis Cases - Event Log.xes.gz,IMd,0.8246,0.9949,0.7886,266,0.0145,0.0014,0.1223,-4.9324,1,1.0625,0,1,-990.7759,-990.7759,1,16,-442.1232,0.0267,17,-1432.8991,0.0444
Sepsis Cases - Event Log.xes.gz,ETM,0.6582,0.9774,0.6857,0,0,0.0016,0.8182,0.8357,-9,0.4375,0,1,318.6694,318.6694,1,16,-442.1232,0.0267,7,-123.4538,0.056
BPI_Challenge_2013_open_problems.xes.gz,IMf,0.9614,0.9985,0.9699,23,0.1474,0.0047,1,1,0,1,0,1,3.5098,3.5098,1,4,-13.5098,0.2179,4,-10,0.2545
BPI_Challenge_2013_open_problems.xes.gz,IMd,0.9527,0.9995,0.9611,0,0,0.0079,0.6154,0.7097,0,1,-0.1333,0.7334,-25.0195,-25.0195,1,4,-13.5098,0.2179,4,-38.5293,0.2167
BPI_Challenge_2013_open_problems.xes.gz,ETM,0,0.9915,0,2,0.0128,0.0058,0,-0.0266,2,1.5,-0.1607,0.6786,-88.6033,-88.6033,1,4,-13.5098,0.2179,6,-102.1131,0.1437
BPI_Challenge_2013_incidents.xes.gz,IMf,0.6402,0.9998,0.6358,57,0.2096,0.0008,0.9032,0.8726,-2,0.6,-0.1667,0.6666,-5.2451,-5.2451,1,5,-17.5098,0.1765,3,-22.7549,0.1987
BPI_Challenge_2013_incidents.xes.gz,IMd,1,1,1,0,0,0,0.4486,0.0295,0,1,-0.1607,0.6786,-64,-64,1,5,-17.5098,0.1765,5,-81.5098,0.1783
BPI_Challenge_2013_incidents.xes.gz,ETM,0,0.9994,0,23,0.0846,0.0091,0,0.719,1,1.2,-0.2,0.6,-46.729,-46.729,1,5,-17.5098,0.1765,6,-64.2388,0.0936
BPI Challenge 2017.xes.gz,IMd,0.6729,0.9999,0.7273,2,0.0001,0.0001,0.0574,-9.5497,12,1.8571,0.1667,1.5002,-2042.6096,-2042.6096,1,14,-776.9141,0.016,26,-2819.5237,0.0341
BPI Challenge 2017.xes.gz,ETM,0.7433,0.9996,0.6457,0,0,0.0091,0.791,0.8677,-9,0.3571,0.1667,1.5002,653.6299,653.6299,1,14,-776.9141,0.016,5,-123.2842,0.0429
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMf,0.8752,0.9993,0.9029,94,0.0417,0,0.2857,-0.132,1,1.125,0,1,19.2031,19.2031,1,8,-143.0676,0.0421,9,-123.8645,0.0576
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMd,0.9715,0.9995,0.9669,94,0.0417,0,0.0829,-2.8858,3,1.375,0,1,-279.8596,-279.8596,1,8,-143.0676,0.0421,11,-422.9272,0.0722
