EVENT_LOG	DISCOVERY_ALG	FITNESS	ABS_EDGES_ONLY_IN_LOG_W3	ABS_EDGES_ONLY_IN_LOG_W2	ABS_EDGES_ONLY_IN_LOG_W1
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.9988	0.9951	0.9961	0.9972
edited_hh104_labour.xes.gz	IMd	0.996	0.9945	0.9963	0.9981
edited_hh102_labour.xes.gz	IMd	0.9951	0.9876	0.9899	0.9923
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.4088	0.1856	0.2512	0.3963
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.9999	0.9995	0.9995	0.9995
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.8963	0.6739	0.7444	0.8449
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.3084	0.3671	0.4427	0.6244
BPI_Challenge_2014_Inspection.xes.gz	IMd	0.8618	0.7683	0.8123	0.9011
ElectronicInvoicingENG.xes.gz	IMd	0.9766	0.9579	0.9703	0.9843
DocumentProcessingENG.xes.gz	IMd	0.9142	0.8853	0.9082	0.9341
edited_hh104_weekends.xes.gz	IMd	0.9842	0.9607	0.9683	0.9759
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	0.7371	0.6393	0.7056	0.8519
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	0.9369	0.7957	0.8518	0.9143
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	0.8596	0.6452	0.7156	0.8216
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	0.9842	0.9621	0.9669	0.9742
5a_VARA_CIVEL_-_TJMT.xes	IMd	0.5364	0.1502	0.2327	0.3886
BPI_Challenge_2013_incidents.xes.gz	IMd	1.0	1.0	1.0	1.0
BPI_Challenge_2013_open_problems.xes.gz	IMd	1.0	0.9031	0.9611	1.0
activitylog_uci_detailed_weekends.xes.gz	ETM	0.6348	0.3552	0.5217	0.7711
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	0.9615	0.9094	0.9521	0.9812
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.4869	0.5712	0.7298	0.878
activitylog_uci_detailed_labour.xes.gz	ETM	0.5943	0.501	0.69	0.8582
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	0.9928	0.9902	0.9942	0.9979
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.9975	0.9917	0.9934	0.996
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.9051	0.8509	0.8861	0.9413
BPI_Challenge_2014_Geo parcel document.xes.gz	ETM	0.8372	0.6563	0.7075	0.7908
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	0.9369	0.8545	0.8863	0.9172
ElectronicInvoicingENG.xes.gz	ETM	0.9238	0.9236	0.9461	0.9794
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	0.6019	0.5133	0.6088	0.7535
DocumentProcessingENG.xes.gz	ETM	0.8573	0.9285	0.9541	0.983
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.5233	0.2803	0.4508	0.6975
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.5636	0.3934	0.5667	0.7528
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	0.8453	0.5517	0.6513	0.807
edited_hh104_weekends.xes.gz	ETM	0.5953	0.4411	0.5522	0.7554
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	0.533	0.307	0.4611	0.6827
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	0.5917	0.2745	0.4624	0.696
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	0.9095	0.8059	0.8317	0.8769
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	0.7838	0.6227	0.7307	0.8633
BPI_Challenge_2020_PermitLog.xes.gz	ETM	0.7391	0.4396	0.5258	0.6909
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	0.8121	0.5089	0.5487	0.6204
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	0.5161	0.2066	0.3516	0.5747
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	0.9837	0.9876	0.9917	0.9982
Hospital Billing - Event Log.xes.gz	ETM	0.9454	0.9049	0.9198	0.9363
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	0.4844	0.1672	0.2423	0.4595
Road_Traffic_Fine_Management_Process.xes.gz	ETM	0.84	0.7527	0.8029	0.8751
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	0.9594	0.9425	0.9542	0.9699
5a_VARA_CIVEL_-_TJMT.xes	ETM	0.4605	0.2371	0.3538	0.6007
Sepsis Cases - Event Log.xes.gz	ETM	0.7541	0.5373	0.6857	0.8432
