event_log	algorithm	tran_sys_time	dfa_time	reduc_time	markov_time	total_time
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	0.0031	0.0512	0.0028	423.4589	423.516
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	0.0024	0.2146	0.0011	3114.7673	3114.9854
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	0.0011	0.0013	0.0005	0.0037	0.0066
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	0.0022	0.1276	0.0013	0.6985	0.8296
5a_VARA_CIVEL_-_TJMT.xes	IMd	0.0031	0.6315	0.0034	5462.2984	5462.9364
BPI_Challenge_2013_incidents.xes.gz	IMd	0.002	0.235	0.0006	0.0109	0.2485
BPI_Challenge_2013_open_problems.xes.gz	IMd	0.0014	0.006	0.0047	0.009	0.0211
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	0.0094	0.011	0.1073	0.4403	0.568
activitylog_uci_detailed_weekends.xes.gz	ETM	0.0081	0.0118	0.106	0.0028	0.1287
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	0.0018	0.0018	0.0013	0.002	0.0069
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.0286	0.0301	1.1007	0.8614	2.0208
activitylog_uci_detailed_labour.xes.gz	ETM	0.0169	0.0226	0.4205	0.0035	0.4635
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	0.0021	0.0035	0.0007	0.0054	0.0117
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.0024	0.0035	0.0005	0.0012	0.0076
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.0148	2.5902	0.003	2764.3891	2766.9971
BPI_Challenge_2014_Geo parcel document.xes.gz	ETM	0.0071	0.0575	0.0015	0.0118	0.0779
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	0.0167	0.1382	0.013	0.0111	0.179
BPI_Challenge_2014_Inspection.xes.gz	ETM	0.0039	0.0048	0.0096	0.0011	0.0194
ElectronicInvoicingENG.xes.gz	ETM	0.0021	0.003	0.0028	0.0008	0.0087
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	0.0135	0.0133	0.0753	0.0088	0.1109
BPI_Challenge_2012.xes.gz	ETM	0.0032	0.013	0.0225	0.0012	0.0399
DocumentProcessingENG.xes.gz	ETM	0.002	0.0031	0.003	0.0009	0.009
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.019	0.0255	0.6582	0.0222	0.7249
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.0228	0.0225	0.6304	0.0038	0.6795
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	0.0065	0.0218	0.0059	0.0717	0.1059
edited_hh104_weekends.xes.gz	ETM	0.0235	0.0273	1.0004	0.0053	1.0565
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	0.0123	0.0117	0.0554	0.0067	0.0861
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	0.0136	0.0188	0.2414	0.0048	0.2786
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	0.0048	0.0104	0.002	0.0028	0.02
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	0.0065	0.0106	0.009	0.0538	0.0799
BPI_Challenge_2020_PermitLog.xes.gz	ETM	0.0136	0.0744	0.0098	0.0113	0.1091
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	0.0014	0.0014	0.001	0.0006	0.0044
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	0.0116	0.0118	0.0504	0.0093	0.0831
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	0.0086	0.0526	0.0014	0.0027	0.0653
Hospital Billing - Event Log.xes.gz	ETM	0.0672	3.7202	0.0077	149.2021	152.9972
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	0.0051	0.0094	0.0171	0.0028	0.0344
Road_Traffic_Fine_Management_Process.xes.gz	ETM	0.0014	0.0028	0.0006	0.0015	0.0063
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	0.0055	0.0551	0.0023	0.0081	0.071
5a_VARA_CIVEL_-_TJMT.xes	ETM	0.0106	0.0185	0.095	0.5764	0.7005
BPI Challenge 2017.xes.gz	ETM	0.0189	0.2851	0.0925	0.1981	0.5946
Sepsis Cases - Event Log.xes.gz	ETM	0.0173	0.0803	0.0136	2.5976	2.7088
BPI_Challenge_2013_incidents.xes.gz	ETM	0.0027	0.0089	0.0012	0.0084	0.0212
BPI_Challenge_2013_open_problems.xes.gz	ETM	0.0095	1.9049	0.0035	1.3272	3.2451
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	ETM	0.0552	0.0396	2.7147	0.0278	2.8373
