EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
DocumentProcessingENG.xes.gz	0.642	0.4248	0.7	0.8	4773.0	IMf	0.8571428571428571	0.7241690782702349	0.5	1.9157498420142989	0.7	0.7692307692307693	0.7875910797085449	0.8349409999999999	0.804822	0.8312440000000001	0.25	0.5	0.5667	0	-0.0693	-0.1053	0.6645	0.7372	-1.0294	0.1760684020983546	0.077548	0.082937	0.077532	-1.2259	-0.9392	-0.617538133605306	2694.0	5.052631578947367	3	4	6	2.3333	3	0.8667	0.9905	0.3333	0.1667	1.0	0.0	0.0	-0.0	9546	7159.5	1.0	0.4167	0.8	1.281	18352	3	10
BPI_Challenge_2012.xes.gz	0.6259	0.6429	0.6	0.6	6888.0	IMf	1.3326271186440677	0.4401987407573973	0.9078498293515359	0.5451372997711675	0.7469879518072289	0.9058219178082192	0.48779176201373	0.496418	0.49093000000000003	0.494163	-0.0265	-0.1667	0.8272	-5	0.0091	0.3328	0.0623	0.5865	-1.2878	0.8539969488939743	0.132406	0.130727	0.131144	-1.0070000000000001	-0.7957	0.0875014027309058	92780.16666666666	4.031274326297623	36	22	43	2.8372	5	0.7063	0.897	0.5882	0.1434	3.6144	0.0488	0.0065	3.0805	8193	227.0	3.6144	0.1503	0.3913	3.1748	13087	4366	24
edited_hh104_weekends.xes.gz	0.2172	0.4791	0.7	0.7	12.0	IMf	1.2182539682539681	0.5555555555555541	0.8823529411764702	1.059606481481481	0.7743589743589744	0.8716356107660456	0.5694444444444449	0.5765359999999999	0.577919	0.578235	0.1507	0.3333	1.9458	-6	0.0391	0.4523	0.6315	2.2296	-3.3789	1.2552083333333337	0.21060500000000001	0.20963	0.20864000000000002	-1.5405	-1.8141	-0.5928924104464586	130860.30735930738	0.72843960482741	46	14	39	3.1282	5	0.6828	0.7466	0.1838	0.0447	3.8269	0.0278	0.0158	4.1427	274	44.0	3.7871	0.4649	0.1195	3.0932	18	18	19
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.4709	0.7352	0.7	0.8	105.0	IMf	1.7407766990291262	0.6814218645204542	0.9430147058823533	0.7345893543076647	0.7430167597765364	0.8888228299643282	0.4229010426193505	0.430893	0.42403900000000005	0.42660600000000004	-0.0174	-0.5	2.2764	10	0.0042	0.5329	-0.2034	0.9113	-1.1631	1.8534845436253973	0.090911	0.089781	0.089923	-0.4573	-0.4905	0.0306840820194914	159154.6588915203	1.5330713741927438	48	24	45	3.4222	9	0.6126	0.7728	0.2822	0.0227	4.6835	0.0196	0.0048	3.9694	1934	12.0	4.5724	0.1746	0.1636	4.123	131	128	38
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.4211	0.9165	0.6	0.7	1564.0	IMf	1.4295977011494252	0.5944112958306554	0.9615384615384616	0.9650316696927268	0.8050847457627118	0.8909090909090909	0.2060955496112316	0.21059699999999998	0.207058	0.207864	0.0418	-0.2167	2.3611	-13	0.0066	-0.2315	0.0896	0.2495	-1.8228	2.7022910285373722	0.27870100000000003	0.278625	0.278416	-1.3709	-1.3023	-0.0379712795447023	231646.8793650793	4.2436537078017285	10	17	22	2.7273	6	0.6901	0.9802	0.7574	0.125	2.8219	0.0935	0.0357	2.7527	3091	1105.5	3.7255	0.1013	0.5806	2.6946	6449	753	34
Hospital Billing - Event Log.xes.gz	0.9527	0.8466	0.6	0.8	43275.0	IMf	0.9769736842105264	0.2827266414500504	0.4615384615384615	0.824421824998101	0.9246575342465754	0.9617834394904459	0.3760691699104143	0.39676999999999996	0.378287	0.386737	0.2307	0.0	-1.0264	-9	0.0944	0.4548	-0.3344	-1.3382	-4.3459	0.0642620722264909	0.005894	0.005873	0.005871	-3.2165	-3.4887	-0.3056785383157229	113816.44999999998	3.990017968142969	4	5	6	3.0	4	0.7143	0.9955	0.3	0.2	1.585	0.0	0.0	-0.0	33673	33673.0	0.9183	0.1667	1.2	1.6461	100000	1020	18
BPI_Challenge_2019_log_IEEE.xes.gz	0.9949	0.8102	0.6	0.6	69479.0	IMf	1.0018248175182485	0.3586601585133256	0.8611111111111113	1.0659374339330945	0.9620758483033932	0.9885386819484241	0.3383557736693153	0.342144	0.339094	0.340692	-0.0577	-0.8	-3.7760000000000002	-38	0.1318	0.2658	-0.127	-2.3472	-5.4304	0.0043671399924191	0.000446	0.00044500000000000003	0.00044500000000000003	-4.7966	-4.7029	-0.1024436882753272	1454301.5792207797	2.2578116153101253	5	9	12	2.5	4	0.7647	0.9967	0.2333	0.0667	1.8424	0.3188	0.1362	2.5216	114328	97904.0	2.8074	0.2857	0.5833	1.6889	251734	11973	42
BPI_Challenge_2014_Reference alignment.xes.gz	1.0	0.9818	0.9	0.9	34987.0	IMf	0.819672131147541	0.0679818079043307	0.0	0.2039454237129922	0.75	0.8444444444444444	0.084742598441122	0.09396499999999999	0.08807100000000001	0.091284	0.1176	-0.5	-1.0625	-3	0.2137	0.0524	0.2326	-1.9528	-1.875	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	621.0	1.5000000000000002	5	3	7	2.2857	3	0.8824	0.9939	0.5	0.0	0.9183	0.0	0.0	-0.0	9095	9095.0	1.585	0.5	1.0	0.9698	43802	515	6
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.6198	0.9074	0.8	0.7	1459.0	IMf	1.1846758349705304	0.4849344081486868	0.95679012345679	1.0013148523530386	0.7833333333333333	0.8705357142857143	0.1656713964827705	0.167915	0.166295	0.168918	-0.0266	-0.4818	0.9152	-5	0.0579	0.0761	-0.0833	-0.1719	-2.9605	0.7785021640278311	0.093394	0.092926	0.09304	-1.7036	-1.7733	0.0123530225682525	217361.6666666666	3.8201400762616347	8	16	20	2.7	5	0.6875	0.9526	0.3603	0.0368	3.0860000000000003	0.1308	0.0343	2.6416	682	149.0	3.8366	0.1046	0.5625	2.8649	2099	202	29
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.0715	0.7616	0.6	0.8	427.0	IMf	3.0394736842105265	1.4288930698991684	1.1311491347462574	0.8017314189189171	0.6715686274509803	0.8781055900621118	0.2014358108108111	0.21274899999999997	0.203501	0.20829299999999998	0.0688	-0.05	4.8062	71	-0.0143	0.4113	0.1608	0.8370000000000001	-1.0536	6.6903856981982015	0.38027	0.373745	0.37948200000000004	0.6981	0.0448	0.1206118601793669	32452.104329004316	3.2212010394014605	71	18	58	3.2069	5	0.6533	0.8258	0.5	0.0501	3.3931	0.0196	0.0066	4.0188	3161	139.0	4.3496	0.2352	0.1933	3.4189999999999996	513	395	23
Road_Traffic_Fine_Management_Process.xes.gz	1.0	0.5105	0.6	0.6	46371.0	IMf	0.9858657243816256	0.6252094205092581	0.0	1.8756282615277744	0.9718309859154929	0.9905660377358492	0.8337880919728573	0.8936120000000001	0.838799	0.8650530000000001	-0.1162	-0.5	-1.9859	-6	-0.0396	-0.4255		-3.2124	-5.8736	0.0	0.0	0.0	0.0	-3.642	-3.9798	0.0229995838599574	29814.16666666667	6.1727053140096615	0	2	3	1.3333	2	1.0	0.9969	0.3333	0.25	1.5219	0.0	0.0	-0.0	56482	56482.0	0.971	0.2	1.25	1.3486	150370	231	11
edited_hh102_labour.xes.gz	0.0781	0.9806	0.6	0.4	7.0	IMd	11.875757575757575	6.407557009247582	1.4794596650916405	0.8593750000000013	0.592156862745098	0.9520435967302452	0.0381944444444444	0.038831	0.038372	0.038276	0.175	0.3698	13.6453	218	-0.0261	0.2049	0.6049	-0.1048	-4.2756	14.311631944444347	0.697703	0.695391	0.6960430000000001	1.0566	0.7638	-0.3899588424095217	35304.65192475734	4.493431654446648	39	16	30	3.7333	10	0.6115	0.7961	0.3928	0.07	4.0588	0.1341	0.0486	3.4613	62	13.0	3.5033	0.2778	0.2118	2.7806	18	18	18
activitylog_uci_detailed_weekends.xes.gz	0.0792	0.9998	0.9	0.9	9.0	IMd	14.087336244541484	7.417215535726651	1.6139862707068369	0.8709016393442613	0.6183574879227053	0.9495628782784128	0.0	0.0	0.0	0.0	0.1392	0.1002	12.4684	192	-0.0434	0.2748	0.4029	-1.2446	-3.5768	14.596311475409856	0.750894	0.746448	0.748221	1.5792	1.2436	0.3144876658650777	-858.9070324126637	4.049849849009083	35	15	26	3.8462	11	0.6129	0.7085	0.3832	0.0879	3.6402	0.079	0.0505	3.9069	72	18.0	3.5069	0.3667	0.1948	2.5366	10	10	15
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.3278	0.9871	0.6	0.6	59.0	IMd	2.060606060606061	1.0345004194089558	0.9005847953216374	0.6964769647696476	0.66	0.8308457711442786	0.021680216802168	0.022403	0.022139	0.022090000000000002	0.3135	0.3682	3.5152	27	-0.0792	0.265	-0.1155	-0.4147	-2.5331	5.2613240418118465	0.596371	0.591564	0.606771	0.2819	0.1403	-0.1881748973694347	3926.066666666666	3.3275054146780905	7	6	8	3.25	6	0.6774	0.9489	0.45	0.225	2.585	0.0	0.0	-0.0	203	157.5	2.585	0.4	0.5	1.7747	232	33	12
activitylog_uci_detailed_labour.xes.gz	0.0781	0.9991	0.6	0.5	12.0	IMd	11.665689149560118	5.949115539632787	1.5367392097819126	0.8936781609195401	0.5477178423236515	0.93734610123119	0.0014367816091954	0.00146	0.001463	0.00144	0.1098	-0.1302	13.1208	227	-0.0291	0.2375	0.4073	-1.5258	-4.8763	14.73204022988509	0.696167	0.691606	0.693358	1.3479	0.9466	0.580022985173206	23652.91735774972	4.852799746626854	24	16	20	4.1	13	0.5769	0.82	0.2361	0.0685	3.375	0.0837	0.0364	3.7028	128	24.0	3.3278	0.3708	0.1798	2.6964	25	25	16
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	1.0	0.6859	0.6	0.5	123.0	IMd	0.96996996996997	0.3696437614621892	0.1666666666666666	1.100310594731394	0.9405940594059404	0.9741379310344828	0.7716553548832376	0.7948970000000001	0.780098	0.7939930000000001	-0.0549	-0.5	-1.297	-9	0.4611	0.1127		-2.8693	-6.2185	0.0	0.0	0.0	0.0	-3.3415	-3.4383	0.0661987647974026	79632.5	5.0497474747474715	0	6	7	1.7143	2	1.0	0.9728	0.3	0.2	1.585	0.0	0.0	-0.0	713	713.0	0.9183	0.1667	1.2	1.6461	1434	116	27
ElectronicInvoicingENG.xes.gz	0.2114	0.9702	0.6	0.5	10722.0	IMd	4.744186046511628	2.92312954627127	1.5436419408812043	0.7634436786072547	0.6304347826086957	0.8869047619047619	0.0335177814451671	0.034581	0.035457	0.034726	0.0897	0.0	2.4413	5	-0.2689	0.1484	-0.4679	1.7566	1.2752	3.8899589036663103	0.693155	0.683558	0.689592	0.9896	1.0202	-0.4515762036937158	-356.33333333333337	4.8159403296202195	13	9	16	2.75	3	0.76	0.9945	0.3333	0.25	1.5219	0.0	0.0	-0.0	8460	8460.0	0.971	0.35	0.7143	1.3486	20135	7	9
BPI_Challenge_2014_Inspection.xes.gz	0.2464	0.9395	0.5	0.5	2820.0	IMd	9.301158301158301	4.43398699901289	1.6292248132721237	0.4920972905718779	0.6701570680628273	0.9226828132277596	0.0848434884203179	0.086172	0.085892	0.085185	0.01	-0.5	8.5998	4	-0.0333	-0.2173	0.0041	-1.273	-2.6892	5.525200159824396	0.407802	0.401171	0.400065	1.5553	1.1703	0.0156369904154288	-74778.86969696969	2.771911023612839	31	15	30	3.2667	6	0.6333	0.9528	0.6264	0.0659	2.8662	0.017	0.0039	3.5899	62905	1830.0	3.9069	0.2952	0.2419	2.5727	5485	3190	15
BPI_Challenge_2014_Geo parcel document.xes.gz	0.3175	0.5744	0.5	0.4	2024.0	IMd	1.1204481792717087	0.3559189481914034	0.7835497835497837	0.7619907626197061	0.7443609022556391	0.8326241134751773	0.5685117417328259	0.581663	0.571567	0.5791	0.0386	-0.1818	0.2808	-5	0.0175	0.0946	-0.028999999999999998	-1.3037	-3.4235	0.7115576176764595	0.09346900000000001	0.09085800000000001	0.091239	-1.2211	-1.6112	-0.0429138715585117	64808.44999999999	1.081594512781087	18	8	18	3.0	5	0.6875	0.9938	0.5	0.1786	2.75	0.0925	0.0512	3.0	14941	3064.5	3.0	0.3929	0.3636	1.9783	29059	9274	16
4a_VARA_CIVEL_-_TJGO.xes	1.0	0.524	0.4	0.4	69.0	IMd	0.9836065573770492	0.6832682291666666	0.0	2.0498046875	0.96875	0.9888888888888888	0.865234375	0.993134	0.8743569999999999	0.92989	-0.3036	-1.0	-1.8125	-36	-0.031	-0.8693		-3.0273	-5.1114	0.0	0.0	0.0	0.0	-3.7352	-3.9527	0.7232982409508654	10940.770634920633	2.8010165475987296	0	1	2	1.0	1	1.0	0.9462	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	339	98	16
BPI_Challenge_2014_Department control parcels.xes.gz	1.0	0.7713	0.9	0.9	24048.0	IMd	0.9480519480519479	0.2703970285315646	0.0	0.811191085594694	0.9047619047619048	0.9642857142857144	0.3198806510457173	0.355116	0.332795	0.346887	-0.265	-0.5	-1.6667	-4	-0.08199999999999999	-0.3509		-2.7373	-3.6538	0.0	0.0	0.0	0.0	-1.7458	-2.4426	0.0543102008413679	1243.0	3.2710526315789474	0	1	2	1.0	1	1.0	0.9942	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	29297	349	6
BPI_Challenge_2014_Entitlement application.xes.gz	1.0	0.0	0.4	0.4	0.0	IMd	0.9973190348525468	0.6627228778680109	0.5	1.9864822929632224	0.9935064935064936	1.0	0.9999999999999972	1.0207950000000001	1.0032940000000001	1.013966	-0.0891	-0.5	-2.8758	-14	-0.0188	-0.1837		-3.8712	-7.0988	0.0520383979266483	0.017447	0.017368	0.017575999999999998	-4.3935	-5.0257	0.0230445888629592	125373.0166666666	5.4624005170210275	1	0	2	1.0	1	1.0	0.9919	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	15260	2553	20
BPI_Challenge_2014_Control summary.xes.gz	1.0	0.9972	0.9	0.9	35659.0	IMd	0.7045454545454546	0.0079563866018582	0.0	0.0238691598055748	0.6153846153846154	0.7419354838709677	0.0112960023807162	0.0122	0.011945	0.012115	0.0454	0.0	-0.7846	-3	0.1787	0.0379	0.2701	-1.1393	-1.4441	0.0	0.0	0.0	0.0	-1.2163	-1.1514	-0.3305251212950427	393.0	1.1590909090909092	5	4	8	2.25	3	0.8947	0.9940000000000001	0.3333	0.1667	1.0	0.0	0.0	-0.0	39335	23432.0	2.0	0.3333	1.0	1.4882	43808	59	7
DocumentProcessingENG.xes.gz	1.0	0.0	0.6	0.4	0.0	IMd	0.9523809523809524	0.8987116118971366	0.5	2.6506802902368642	0.9523809523809524	1.0	0.9999999999999996	1.057356	1.0	1.050841	0.0	0.0	-0.1	-1	-0.4026	-0.6053		-0.7219	-1.9477	0.0698639419526271	0.036245	0.034932	0.035348000000000004	-1.3315	-1.6188	0.0	2754.0	8.052631578947368	1	0	2	1.0	1	1.0	0.9926	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	18352	3	10
edited_hh110_labour.xes.gz	0.0761	0.9977	0.6	0.4	8.0	IMd	14.051470588235292	7.676042695255567	1.5617309041204301	0.9208633093525179	0.5899581589958159	0.9538677918424754	0.0043165467625899	0.004374	0.004342	0.004328	0.1702	0.3675	13.4354	220	-0.0331	0.1888	0.583	0.6926	-3.8962	14.57553956834521	0.734354	0.731362	0.7320840000000001	1.3297	1.033	-0.2364657668015958	20028.06989035216	5.078336424511514	27	16	21	4.0952	13	0.5926	0.8139	0.4083	0.0875	3.2869	0.1038	0.0314	3.9698	104	14.0	2.9398	0.2831	0.2208	2.8687	21	21	17
BPI_Challenge_2012.xes.gz	0.5195	0.4734	0.5	0.5	3856.0	IMd	1.1970338983050848	0.3854455922834646	0.8654970760233921	0.7266933638443939	0.8714285714285714	0.9318181818181818	0.6190465293668957	0.631479	0.62295	0.628729	0.0954	-0.1333	2.5978	-8	0.0014	-0.1616	0.0717	-1.506	-3.2069	0.9871434019832196	0.146233	0.145572	0.145425	-2.2656	-2.1858	-0.0115677595593368	113542.5	6.312548387096774	12	7	13	3.0769	6	0.6667	0.9374	0.5	0.0	1.6645	0.0525	0.0065	2.1281	4061	1227.0	2.8074	0.3333	0.5	1.8976	13087	4366	24
edited_hh104_weekends.xes.gz	0.0601	0.9999	0.6	0.6	10.0	IMd	13.236111111111109	7.005426954732491	1.4718457067559263	0.9490740740740748	0.4752186588921283	0.9479601670414392	0.0	0.0	0.0	0.0	0.15	0.3506	16.3516	326	-0.0161	0.3666	0.7458	-0.0201	-6.3934	15.415509259258958	0.649792	0.6480100000000001	0.648663	1.2574	0.8233	-0.1540279983652381	52220.24305828328	3.7170695774268574	15	19	13	5.2308	14	0.5281	0.8149	0.1522	0.0482	4.0588	0.0223	0.0158	4.1699	254	35.0	3.8366	0.4804	0.1224	3.1371	18	18	19
BPI_Challenge_2020_InternationalDeclarations.xes.gz	1.0	0.8424	0.4	0.5	1993.0	IMd	0.9798850574712644	0.4607128816451681	0.5	1.3560865407270877	0.9289340101522844	0.9679358717434868	0.3534115951268879	0.359955	0.35454	0.358641	-0.0287	-0.5	-1.3901	-20	0.3576	0.043	-0.4867	-2.2369	-5.8731	0.0	0.0	0.0	0.0	-3.6373	-3.7289	0.0319637216223273	246211.4333333333	0.4919788941217508	2	12	13	2.1538	3	0.9309999999999999	0.9847	0.3545	0.0727	2.7516	0.2432	0.0811	1.7842	983	672.0	1.7842	0.1061	0.8571	2.0142	6449	753	34
Hospital Billing - Event Log.xes.gz	1.0	0.7709999999999999	0.6	0.5	20902.0	IMd	0.9835526315789472	0.3554338594153507	0.0	1.0641417510322313	0.9655172413793104	0.9892008639308856	0.4801702228264098	0.490674	0.48238000000000003	0.49593999999999994	-0.1279	-1.0	-2.1931	-13	0.48	0.0912		-3.464	-6.7967	0.0	0.0	0.0	0.0	-4.3588	-4.4861	0.029909820201061	113956.44999999998	3.0354725135975134	0	5	6	1.6667	2	1.0	0.9964	0.3	0.2	1.585	0.0	0.0	-0.0	33673	33673.0	0.9183	0.1667	1.2	1.6461	100000	1020	18
BPI_Challenge_2019_log_IEEE.xes.gz	1.0	0.7702	0.5	0.5	92467.0	IMd	0.9984793187347932	0.4228848593026884	0.6923076923076923	1.1750940417499125	0.98	0.9953371592539456	0.4778953412586573	0.48628299999999997	0.47883000000000003	0.482832	-0.0921	-1.0	-4.276	-41	0.2817	0.2636	-0.1913	-3.1276	-7.0436	0.0	0.0	0.0	0.0	-5.5916	-5.4579	0.0344012672473465	1455295.5792207797	2.5655601533218197	1	6	8	2.0	3	0.8824	0.9976	0.2	0.025	1.4591	0.349	0.182	2.2516	32432	20218.0	1.7925	0.3	0.6667	1.6033	251734	11973	42
BPI_Challenge_2014_Reference alignment.xes.gz	1.0	0.9818	0.9	0.9	34987.0	IMd	0.819672131147541	0.0679818079043307	0.0	0.2039454237129922	0.75	0.8444444444444444	0.084742598441122	0.09396499999999999	0.08807100000000001	0.091284	0.1176	-0.5	-1.0625	-3	0.2137	0.0524	0.2326	-1.9528	-1.875	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	621.0	1.5000000000000002	5	3	7	2.2857	3	0.8824	0.9941	0.5	0.0	0.9183	0.0	0.0	-0.0	38572	7838.0	1.585	0.5	1.0	0.9935	43802	515	6
BPI_Challenge_2020_PermitLog.xes.gz	0.2304	0.7681	0.6	0.5	1675.0	IMd	1.6209335219236207	0.6414747706989842	0.9756097560975616	0.8977373788706484	0.783206106870229	0.9106657608695652	0.4355690047469964	0.44324600000000003	0.436069	0.43844099999999997	-0.0003	-0.5	3.9205	-6	0.0023	0.17300000000000001	0.2116	1.2449	-2.9563	4.619419965119394	0.220727	0.21887199999999998	0.219097	-1.0602	-1.0997	-0.001959094861833	1993173.6484848475	3.1459069868705662	22	23	24	3.8333	8	0.6	0.9728	0.7065	0.1214	3.6235	0.1365	0.0268	3.0472	1372	170.0	4.3239	0.0783	0.5319	3.0099	7065	1478	51
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9859	0.8583	0.6	0.4	437.0	IMd	0.9842829076620824	0.4323679722182225	0.7000000000000001	1.2476853120035052	0.9096385542168676	0.9510086455331412	0.3267408097299071	0.33375900000000003	0.327509	0.331926	-0.0306	-0.5	-0.8348	-11	0.2841	0.0529	-0.1355	-1.3015	-4.6621	0.0092587519859749	0.003156	0.003105	0.003105	-3.0873	-3.3007	0.0197274921104336	229578.5	3.721921470967558	1	12	11	2.3636	4	0.8571	0.9694	0.2778	0.1944	2.3219	0.0	0.0	-0.0	404	357.5	2.0464	0.1	1.1111	2.0529	2099	202	29
Road_Traffic_Fine_Management_Process.xes.gz	1.0	0.5105	0.5	0.6	46371.0	IMd	0.9858657243816256	0.6252094205092581	0.0	1.8756282615277744	0.9718309859154929	0.9905660377358492	0.8337880919728567	0.8936120000000001	0.838799	0.8650530000000001	-0.1162	-0.5	-1.9859	-6	-0.0396	-0.4255		-3.2124	-5.8736	0.0	0.0	0.0	0.0	-3.642	-3.9798	0.0229995838599574	29814.16666666667	6.1727053140096615	0	2	3	1.3333	2	1.0	0.9969	0.3333	0.25	1.5219	0.0	0.0	-0.0	56482	56482.0	0.971	0.2	1.25	1.3486	150370	231	11
BPI_Challenge_2013_incidents.xes.gz	0.9804	0.8305	0.4	0.6	2578.0	IMd	0.7368421052631579	0.1894498899946453	0.25	0.4998931852168339	0.5714285714285714	0.7234042553191491	0.4168218024231696	0.474008	0.44656899999999994	0.45762299999999995	0.0016	0.1667	-1.0989	-6	0.0758	0.4296	-0.3153	-0.8492	-1.7042	0.2305368205816828	0.02231	0.021087	0.021352	-0.5227	-0.8659	-0.0774930847854478	268.0	1.0	6	3	7	2.5714	3	0.8	0.991	0.5	0.0	0.9183	0.0	0.0	-0.0	5612	876.0	1.585	0.8333	0.6	0.9901	7554	1511	4
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1.0	0.8592	0.5	0.6	2473.0	IMd	0.9379844961240309	0.3547079882989625	0.3333333333333333	1.0300330558059785	0.8536585365853658	0.9318181818181818	0.3670962153753693	0.377373	0.37061900000000003	0.385848	-0.129	-0.5	-1.1463	-9	0.4376	-0.1882		-2.5375	-4.9489	0.0	0.0	0.0	0.0	-2.3254	-2.5807	0.03073777892478786	7339.0	1.742948717948718	0	6	7	1.7143	2	1.0	0.9885	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17
Sepsis Cases - Event Log.xes.gz	0.3733	0.8477	0.4	0.5	476.0	IMd	6.977853492333901	3.1771241172690163	1.5308397989557398	0.7292625213619028	0.547244094488189	0.8957307060755336	0.11772052057315635	0.121305	0.11798199999999999	0.118244	-0.0088	-0.3333	10.0267	191	-0.0137	0.1117	0.1487	-1.7709	-2.2184	19.04502431970538	0.426691	0.42073999999999995	0.42905	1.047	1.0217	0.12530720401543013	-22228.850288600213	3.137446257632228	18	16	20	3.8	7	0.551	0.9414	0.2524	0.1226	3.75	0.0407	0.0281	3.5778	1600	379.0	4.0	0.4333	0.1538	2.9611	1050	846	16
BPI_Challenge_2013_open_problems.xes.gz	0.9997	0.7245	0.6	0.4	228.0	IMd	0.7317073170731707	0.29012099454859736	0.0	0.8703629836457918	0.6	0.7741935483870968	0.5384922217790187	0.602176	0.595914	0.6170720000000001	-0.026000000000000002	0.0	-1.35	-5	0.2	0.125	0.4503	-0.4464	-0.6609999999999999	0.0	0.0	0.0	0.0	-0.9602	-0.9632	-0.284126661976216	134.0	0.7916666666666667	2	2	4	2.0	3	1.0	0.9665	0.0	0.0	-0.0	0.0	0.0	-0.0	216	0.0	1.585	0.3333	1.5	0.993	819	108	3
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.8603	-1.0	-1.0	-1.0	206.0	ETM	0.9817518248175182	0.3766139154388354	0.5094339622641509	1.0979624981544391	0.9172185430463576	0.9523809523809524	0.4379152517348317	0.443779	0.439887	0.4421	0.0242	-0.1667	-1.5130000000000001	-22	0.1283	0.2667	0.2813	-1.1391	-3.5610000000000004	0.015207441311088143	0.0007599999999999999	0.0007599999999999999	0.000762	-3.3546	-3.5513	-0.5069177636775333	432863.71911976906	0.29618415964068	13	66	72	2.1944	3	0.9152	0.4522	0.3599	0.0106	4.3898	0.0259	0.0067	4.3719	2280	10.5	4.5464	0.1718	0.1493	4.1653	206	206	42
activitylog_uci_detailed_weekends.xes.gz	0.9773	0.6447	-1.0	-1.0	10.0	ETM	0.8296943231441049	0.42905282331511857	0.5172413793103448	1.0204918032786887	0.5365853658536586	0.7317073170731707	0.4979508196721305	0.50425	0.50522	0.510502	-0.0019	0.2222	-0.4841	-5	0.1143	0.1314	0.4369	-0.6162	-2.2633	0.2192622950819672	0.050831	0.050773	0.050711	-1.0265	-0.9087	0.1263756522378311	18031.666666666664	-1.9645826395826382	6	61	66	2.0606	3	0.9568	0.4076	0.4089	0.0737	3.4566	0.078	0.0457	3.7736	88	20.0	3.6402	0.3714	0.1923	2.5841	10	10	15
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.8923	0.9584	-1.0	-1.0	232.0	ETM	0.8888888888888888	0.2740111627306749	0.5454545454545454	0.6345334881920248	0.6285714285714286	0.676923076923077	0.05652342237708088	0.059134000000000006	0.057923	0.057837	0.1884	0.3	-0.1363	-2	0.1177	-0.0292	0.3126	-0.9825	-2.7963	0.04529616724738676	0.009184000000000001	0.009348	0.009081	-1.2897	-1.5814	-1.43536700606163	4472.0	1.3988413547237073	7	13	15	2.6667	4	0.7778	0.6937	0.4121	0.0712	3.2516	0.0635	0.0192	2.6887	440	183.0	3.4183	0.2576	0.3529	2.5372	232	33	12
