	EVENT_LOG	DISCOVERY_ALG	FITNESS	ALIGN_K1	EDGES_K1	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_3_K1	ALIGNMENTS_MARKOV_4_K1	ALIGN_K2	EDGES_K2	ALIGN_K3	EDGES_K3
13	PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.5251	0.6802	0.6127	0.6789	0.5913	0.6938	0.3879	0.4432	0.2251	0.3245
14	BPI_Challenge_2014_Control summary	IMf	0.8945	0.8945	0.8419	0.8945	0.8945	0.8945	0.7538	0.7394	0.6641	0.6677
15	BPI_Challenge_2014_Control summary	IMd	0.8963	0.8963	0.8449	0.8963	0.8963	0.8963	0.7579	0.7444	0.6699	0.6739
16	BPI_Challenge_2014_Control summary	ETM	0.9975	0.9975	0.996	0.9975	0.9975	1.0	0.9942	0.9934	0.9921	0.9917
17	BPI_Challenge_2014_Department control parcels	IMf	0.7241	0.7241	0.6755	0.7241	0.7241	0.7241	0.5029	0.5336	0.4077	0.4536
18	BPI_Challenge_2014_Department control parcels	IMd	0.9999	0.9999	0.9995	0.9999	0.9999	0.9999	0.9998	0.9995	0.9997	0.9995
19	BPI_Challenge_2014_Department control parcels	ETM	0.9928	0.9993	0.9979	0.9928	0.1401	0.9934	0.9968	0.9942	0.9904	0.9902
20	ElectronicInvoicingENG	IMf	0.9328	0.9328	0.9714	0.9328	0.9328	0.9328	0.9088	0.9461	0.8888	0.9236
21	ElectronicInvoicingENG	IMd	0.9766	0.9766	0.9843	0.9766	0.9766	1.0	0.9678	0.9703	0.9604	0.9579
22	ElectronicInvoicingENG	ETM	0.9238	0.9418	0.9794	0.9238	0.9201	0.9277	0.9122	0.9461	0.8921	0.9236
23	4a_VARA_CIVEL_-_TJGO	IMf	0.7447	0.8146	0.6097	0.7447	0.2628	0.7641	0.6526	0.5462	0.5772	0.5106
24	4a_VARA_CIVEL_-_TJGO	IMd	0.3084	0.8247	0.6244	0.3084	0.284	0.7641	0.5049	0.4427	0.2942	0.3671
25	4a_VARA_CIVEL_-_TJGO	ETM	0.9051	0.9723	0.9413	0.9051	0.6211	0.9098	0.9095	0.8861	0.8496	0.8509
26	VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.8075	0.8075	0.7382	0.8075	0.8075	0.8156	0.7093	0.6788	0.6385	0.6305
27	VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.6019	0.7744	0.7535	0.5597	0.5537	0.5668	0.6465	0.6088	0.5081	0.5133
28	BPI_Challenge_2014_Entitlement application	ETM	0.9369	0.9589	0.9172	0.9295	0.8551	0.9359999999999999	0.9232	0.8863	0.9004	0.8545
29	BPI_Challenge_2014_Inspection	IMd	0.8618	0.8781	0.9011	0.8618	0.8618	0.905	0.6822	0.8123	0.6179	0.7683
32	BPI_Challenge_2014_Geo parcel document	ETM	0.8372	0.8561	0.7908	0.8367	0.8152	0.8674	0.7188	0.7075	0.6497	0.6563
34	3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.5233	0.7396	0.6975	0.455	0.45399999999999996	0.4544	0.4041	0.4508	0.2144	0.2803
35	BPI_Challenge_2020_InternationalDeclarations	ETM	0.8453	0.8596	0.807	0.8446	0.7913	0.8521	0.6884	0.6513	0.5770000000000001	0.5517
36	DocumentProcessingENG	IMf	0.8455	0.8455	0.9341	0.8455	0.8455	0.8455	0.8249	0.9082	0.8079999999999999	0.8853
37	DocumentProcessingENG	IMd	0.9142	0.9142	0.9341	0.9142	0.9142	0.935	0.8674	0.9082	0.8348	0.8853
38	DocumentProcessingENG	ETM	0.8573	0.8959999999999999	0.983	0.8573	0.8573	0.8636	0.8581	0.9541	0.8271	0.9285
39	edited_hh110_labour	IMf	0.7628	0.7797	0.7279	0.7628	0.6233	0.7797	0.6682	0.669	0.5806	0.6249
40	1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.5636	0.8420000000000001	0.7528	0.4857	0.485	0.4858	0.5442	0.5667	0.3064	0.3934
41	QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.7536	0.7599	0.6553	0.7591	0.6896	0.8108	0.5335	0.5035	0.34700000000000003	0.3895
42	edited_hh104_weekends	IMd	0.9842	0.9844	0.9759	0.9842	0.9842	0.9842	0.9711	0.9683	0.9583	0.9607
43	edited_hh104_weekends	ETM	0.5953	0.7401	0.7554	0.5678	0.5662	0.5678	0.4488	0.5522	0.3172	0.4411
44	1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	0.7214	0.7283	0.6402	0.7283	0.5695	0.7371	0.4947	0.506	0.3535	0.4216
45	1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	0.5329999999999999	0.7507	0.6827	0.4878	0.4456	0.4922	0.4765	0.4611	0.2602	0.307
46	2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	0.9369	0.9395	0.9143	0.9369	0.9369	0.9822	0.8374	0.8518	0.7629	0.7957
47	2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	0.5161	0.6439	0.5747	0.4508	0.44799999999999995	0.45	0.2839	0.3516	0.1817	0.2066
48	VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	0.5917	0.7568	0.696	0.5462	0.5453	0.5459	0.4182	0.4624	0.1962	0.2745
49	BPI_Challenge_2020_PrepaidTravelCost	IMd	0.7371	0.8936	0.8519	0.737	0.737	0.845	0.6131	0.7056	0.4975	0.6393
50	BPI_Challenge_2020_PrepaidTravelCost	ETM	0.9095	0.9097	0.8769	0.9095	0.8909	0.9108	0.857	0.8317	0.8161	0.8059
51	JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.4844	0.6121	0.4595	0.4689	0.4564	0.4684	0.3172	0.2423	0.2345	0.1672
52	BPI_Challenge_2014_Reference alignment	IMf	0.8595	0.8595	0.821	0.8595	0.8595	0.8596	0.6989	0.7146	0.6096	0.644
53	BPI_Challenge_2014_Reference alignment	IMd	0.8596	0.8596	0.8216	0.8596	0.8596	0.8596	0.6992	0.7156	0.6101	0.6452
54	BPI_Challenge_2014_Reference alignment	ETM	0.9837	0.9996	0.9982	0.9829	0.9793	0.9998	0.9901	0.9917	0.9865	0.9876
55	Hospital Billing - Event Log	IMf	0.821	0.8226	0.8836	0.821	0.821	0.8211	0.7145	0.8054	0.6512	0.7481
56	Hospital Billing - Event Log	ETM	0.9454	0.9568	0.9363	0.9483	0.6061	0.9625	0.9302	0.9198	0.9079	0.9049
57	COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	0.7838	0.893	0.8633	0.7296	0.7276	0.7304	0.7558	0.7307	0.6445	0.6227
58	Road_Traffic_Fine_Management_Process	IMf	0.7893	0.9176	0.9254	0.7893	0.7838		0.748	0.85	0.6759	0.7933
59	Road_Traffic_Fine_Management_Process	ETM	0.84	0.84	0.8751	0.84	0.84		0.7511	0.8029	0.6971	0.7527
60	BPI_Challenge_2020_PermitLog	ETM	0.7391	0.7502	0.6909	0.7003	0.6817		0.5668	0.5258	0.4448	0.4396
61	BPI_Challenge_2019_log_IEEE	ETM	0.8121	0.8139	0.6204	0.8123	0.8123		0.6769	0.5487	0.6105	0.5089
62	Sepsis Cases - Event Log	IMf	0.7929	0.7818	0.7614	0.7929	0.7398		0.6224	0.5877	0.493	0.4638
63	Sepsis Cases - Event Log	ETM	0.7541	0.8294	0.8432	0.7409	0.6571		0.6582	0.6857	0.4844	0.5373
64	BPI_Challenge_2013_open_problems	IMf	0.9783	0.9783	0.9811	0.9783	0.9783		0.9614	0.9699	0.9534	0.9626
65	BPI_Challenge_2013_open_problems	IMd	1.0	1.0	1.0	0.6676	1.0		0.9527	0.9611	0.8391	0.9031
67	BPI_Challenge_2013_incidents	IMf	0.7246	0.7644	0.7855	0.7251	0.6713		0.6402	0.6358	0.5065	0.5761
68	BPI_Challenge_2013_incidents	IMd	1.0	1.0	1.0	0.9999	1.0		1.0	1.0	1.0	1.0
71	BPI_Challenge_2020_DomesticDeclarations	IMf	0.935	0.935	0.9363	0.935	0.935		0.8752	0.9029	0.8429	0.8784
72	BPI_Challenge_2020_DomesticDeclarations	IMd	0.9842	0.9867	0.9742	0.9842	0.9842		0.9715	0.9669	0.9637	0.9621
73	BPI_Challenge_2020_DomesticDeclarations	ETM	0.9594	0.9606	0.9699	0.9594	0.8362		0.9436	0.9542	0.934	0.9425
74	5a_VARA_CIVEL_-_TJMT	IMd	0.5364	0.6379	0.3886	0.5383	0.5317		0.3261	0.2327	0.1477	0.1502
75	5a_VARA_CIVEL_-_TJMT	ETM	0.4605	0.6281	0.6007	0.4301	0.4255		0.272	0.3538	0.1476	0.2371
76	VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.6065	0.6065	0.6081	0.6065	0.6065		0.4098	0.4833	0.2678	0.3872
