EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	-1	-1	-1	-1	0.38617365134337156	0.9413965087281796	0.9370774830993239	0.6072038911528831	0.610574	0.609354	0.609296	0.2085	0.5	1.8013	47	-1	-1	-0.1657	0.6642	-1	1.2397791507821732	0.065989	0.065556	0.065536	-2.0541	-2.56	-0.13575064371399523	-1	-1	27	11	25	3.12	4	0.6774	-1	0.4485	0.0224	4.1571	0.0223	0.0074	3.5254	2219	9.0	4.7044	0.121	0.1921	4.4147	52	52	45	IMf
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.30346828683521193	0.7916666666666666	0.8484848484848485	0.8467482503171939	0.901406	0.862627	0.892218	0.213	0.5	0.6778	0	-1	-1	-0.4722	0.2692	-1	0.1892931690746122	0.082779	0.08859	0.083136	-0.8438	-0.7039	-0.35169165353752996	-1	-1	3	4	6	2.3333	3	0.8667	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	9546	7159.5	1.0	0.4167	0.8	1.281	18352	3	10	IMf
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.5948519742207631	0.9184060721062619	0.9641873278236914	0.599310353132916	0.606157	0.601325	0.60276	0.0357	0.0	1.3633	-5	-1	-1	0.0314	1.0259	-1	0.8165210165667792	0.12458	0.123567	0.123681	-0.2016	0.1236	0.005117807131937408	-1	-1	36	22	43	2.8372	5	0.7063	-1	0.5643	0.1024	3.8408	0.0643	0.005	3.0838	8305	223.0	3.7322	0.119	0.4	3.3923	13087	4366	24	IMf
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	-1	-1	-1	-1	0.35670581339097773	0.8907035175879398	0.953661236754705	0.5465268676277956	0.551283	0.547225	0.548783	0.0265	0.0	2.7919	250	-1	-1	-0.0057	1.5244	-1	8.021718779254801	0.104258	0.102372	0.103665	0.7975	0.2983	0.031110676261523466	-1	-1	48	24	45	3.4222	9	0.6126	-1	0.2946	0.0242	4.5744	0.0198	0.0043	4.1193	2029	15.0	4.7185	0.2074	0.1507	3.9686	131	128	38	IMf
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.7692291324729342	0.8926174496644296	0.9494084047327621	0.27432954856777425	0.277984	0.274685	0.276499	0.0209	-0.7333	2.5026	-43	-1	-1	0.0133	0.7358	-1	3.054397126419281	0.337486	0.336829	0.336799	-0.2575	-0.2285	0.006415818484777984	-1	-1	10	17	22	2.7273	6	0.6901	-1	0.5875	0.175	3.2928	0.2032	0.0548	2.5366	2544	1498.0	3.7345	0.0956	0.6538	2.4313	6449	753	34	IMf
Hospital Billing - Event Log.xes.gz	-1	-1	-1	-1	0.6511166195572639	0.9751243781094527	0.9815217391304348	0.4433346518987324	0.457005	0.444264	0.456311	0.1968	0.0	-0.3504	-28	-1	-1	-0.5565	-1.3015	-1	1.2361748417721519	0.028369	0.028102	0.028394	-4.4374	-4.412	-0.22712813928796938	-1	-1	4	5	6	3.0	4	0.7143	-1	0.3	0.1	1.4591	0.2632	0.0439	1.4591	54575	54575.0	1.4591	0.2	1.0	1.7382	100000	1020	18	IMf
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.7137933753736185	0.9901613537977174	0.9953857075248462	0.421544474202672	0.42437	0.421754	0.424621	0.0367	-0.5	-1.7076	-210	-1	-1	-0.2188	-1.7555	-1	0.1846110272868156	0.000974	0.000974	0.000974	-6.7888	-6.57	-0.27876340670473787	-1	-1	5	9	12	2.5	4	0.7647	-1	0.2381	0.0476	2.0	0.2228	0.1205	2.1556	114223	54047.0	2.75	0.2143	0.6667	1.8867	251734	11973	42	IMf
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9574176582276734	0.8648648648648649	0.9032258064516129	0.10681814245882615	0.112304	0.109005	0.111278	0.1776	-0.5	-0.7135	-2	-1	-1	-0.1538	-0.8684	-1	0.0	0.0	0.0	0.0	-2.48	-2.6689	-0.15652385152634565	-1	-1	5	3	7	2.2857	3	0.8824	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	38572	7838.0	1.585	0.5	1.0	0.9935	43802	515	6	IMf
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.786074915327623	0.8619854721549637	0.9069767441860465	0.2083410680032171	0.20941	0.208743	0.211923	-0.0254	-1.0	0.7756	-24	-1	-1	-0.1226	0.4549	-1	0.9707938865169242	0.1114	0.111254	0.111387	-1.7574	-1.0429	0.0339926652284274	-1	-1	8	16	20	2.7	5	0.6875	-1	0.3199	0.0312	3.5249	0.1928	0.0279	2.5997	750	219.5	3.8366	0.0882	0.6667	2.7103	2099	202	29	IMf
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.30837933098357384	0.9883720930232558	0.9942857142857143	0.8059206120672368	0.881853	0.806296	0.843895	-0.118	-1.0	-1.0349	-11	-1	-1		-2.4119	-1	0.0	0.0	0.0	0.0	-5.2973	-5.2926	0.013181933295485962	-1	-1	0	2	3	1.3333	2	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	46371	23185.5	-0.0	0.5	2.0	1.0	150370	231	11	IMf
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.9825187462201992	0.46875	0.53	0.02991843561932024	0.031402	0.032208	0.031501	0.1595	0.0556	0.09	-4	-1	-1	-0.0955	-1.0863	-1	0.26229932230863406	0.014394	0.014411	0.014559	-0.8541	-0.95	-0.412783634062964	-1	-1	9	3	10	2.6	3	0.7333	-1	0.5	0.0	0.9183	0.0903	0.0451	0.9183	9479	2678.0	1.585	1.1667	0.4286	0.9707	7554	1511	4	IMf
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	-1	-1	-1	-1	0.6496060782899917	0.8253012048192772	0.870391061452514	0.2780946948088989	0.280279	0.279918	0.279612	0.0329	0.0	1.9296	15	-1	-1	-0.0909	0.2551	-1	1.1012549914432408	0.14791	0.147636	0.14767	-0.4311	-0.801	-0.0009197160244742437	-1	-1	35	11	32	3.0	5	0.6842	-1	0.5501	0.0444	3.3931	0.031	0.0056	3.514	585	17.0	4.1429	0.1897	0.2396	3.4797	28	28	26	IMf
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.6180704583664097	0.9384615384615385	0.9689922480620154	0.4608742696386067	0.476695	0.463532	0.486476	-0.0788	-0.5	-0.9846	-18	-1	-1		-2.2875	-1	0.0	0.0	0.0	0.0	-3.751	-3.4014	0.04357290430496233	-1	-1	0	5	6	1.6667	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17	IMf
Sepsis Cases - Event Log.xes.gz	-1	-1	-1	-1	0.6079108818275388	0.786593707250342	0.9015736766809728	0.34072295961592947	0.344526	0.341392	0.341947	-0.037	-0.7222	3.0112	-18	-1	-1	0.1144	-0.4705	-1	1.7804998587969543	0.212314	0.211406	0.211524	-0.0206	0.2457	0.13142678712899827	-1	-1	19	13	26	2.8462	5	0.6444	-1	0.3492	0.1117	3.75	0.0407	0.0256	3.7028	2005	437.5	4.0	0.4458	0.1495	2.9557	1050	846	16	IMf
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.7256550768455529	0.7391304347826086	0.8285714285714286	0.3976124885215794	0.442184	0.415243	0.441824	-0.0181	0.0	-1.0435	-14	-1	-1	-0.2993	-0.8393	-1	0.0	0.0	0.0	0.0	-1.3981	-1.5787	-0.10369553791384095	-1	-1	4	2	5	2.4	3	0.8462	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	316	0.0	1.585	0.5	1.0	0.9953	819	108	3	IMf
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.384670645446507	0.9032258064516129	0.9230769230769231	0.7188430455125474	0.735779	0.742711	0.736821	0.3249	0.0	0.6629	-2	-1	-1	-0.128	-1.4092	-1	0.3598468736707784	0.113452	0.116678	0.112309	-2.1574	-2.2826	-0.4521604156693295	-1	-1	11	6	13	2.7692	4	0.7143	-1	0.45	0.225	2.585	0.0	0.0	-0.0	338	267.5	2.585	0.4	0.5	1.7747	232	33	12	HEU_MINER
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	-1	-1	-1	-1	0.16483121713247234	0.9705882352941176	0.9803921568627451	0.8760677966101648	0.890261	0.88377	0.895361	-0.0307	-0.5	-0.5833	-12	-1	-1	-0.5732	-1.4726	-1	0.0	0.0	0.0	0.0	-4.888	-4.6454	0.10275787911280541	-1	-1	1	6	7	2.0	3	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	713	713.0	0.9183	0.1667	1.2	1.6461	1434	116	27	HEU_MINER
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.5151754578165849	0.75	0.8409090909090909	0.6222329912251856	0.660107	0.628965	0.656356	0.1341	0.0	0.6189	-1	-1	-1	-0.316	-0.2528	-1	0.418179615431212	0.202179	0.203188	0.200539	-0.511	-0.6422	-0.4006693772527445	-1	-1	12	9	15	2.8	4	0.75	-1	0.2679	0.1429	2.7255	0.0	0.0	-0.0	13710	10500.0	1.9749	0.2361	0.5294	1.8898	20135	7	9	HEU_MINER
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.5470364921707158	0.6017699115044248	0.7596281540504648	0.25016126011777207	0.252061	0.251046	0.252574	0.0198	0.25	1.7253	-1	-1	-1	-0.107	0.8364	-1	0.8785139099856424	0.124856	0.124763	0.124957	-0.1731	-0.4047	-0.005184311254288102	-1	-1	34	15	24	4.1667	11	0.5748	-1	0.5	0.0659	2.5968	0.0176	0.0031	3.3232	72052	2046.0	3.9069	0.3095	0.2308	2.5659	5485	3190	15	HEU_MINER
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.4334878494170531	0.952755905511811	0.9591836734693877	0.6514970059880231	0.661013	0.655245	0.714533	-0.2051	-1.0	-0.1496	-63	-1	-1	-0.6722	-1.2001	-1	1.2179640718562874	0.016471	0.016459	0.016635	-3.65	-3.7055	0.9491719024002382	-1	-1	6	8	9	3.5556	6	0.561	-1	0.2143	0.0179	1.7527	0.1628	0.0666	2.281	69	6.0	2.6416	0.2222	0.5625	2.2002	339	98	16	HEU_MINER
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.7483320026078264	0.7727272727272727	0.8260869565217391	0.2874250987334874	0.301123	0.298011	0.29891	0.1732	-0.5	-0.4909	-3	-1	-1	0.0431	-0.961	-1	0.0	0.0	0.0	0.0	-1.967	-2.0393	-0.22586584943139926	-1	-1	2	4	6	2.0	3	1.0	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	39335	23432.0	2.0	0.3333	1.0	1.4882	43808	59	7	HEU_MINER
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.7269893794089826	0.5588235294117647	0.7619047619047619	0.1296484263086809	0.133992	0.133163	0.135621	0.1667	0.5	0.831	0	-1	-1	-0.2123	-0.1431	-1	0.8514795563377399	0.412658	0.412466	0.410595	0.36	0.2982	-0.46281111173768524	-1	-1	13	9	16	2.75	3	0.76	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	9546	7159.5	1.0	0.4167	0.8	1.281	18352	3	10	HEU_MINER
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.47050170247456324	0.847953216374269	0.904487917146145	0.42267966746014884	0.42855	0.424419	0.425724	0.0794	-0.1667	1.8022	-7	-1	-1	0.0048	0.8221	-1	0.8566674561343651	0.133593	0.133889	0.133566	-1.8586	-1.7964	-0.0675002202062431	-1	-1	28	16	24	3.7917	8	0.5965	-1	0.6319	0.1593	3.5899	0.0693	0.0083	2.7899	9493	537.0	3.3736	0.1857	0.3846	2.7979	13087	4366	24	HEU_MINER
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.2948390325259233	0.9446902654867256	0.9611542730299667	0.5327996103619344	0.536458	0.533504	0.538581	0.025	-0.5	-0.4482	-47	-1	-1	-0.0653	-0.7495	-1	0.32093391373169766	0.024366	0.024362	0.024295	-4.5141	-3.9658	-0.11500634823224946	-1	-1	11	17	19	3.1053	6	0.662	-1	0.7092	0.0588	3.2211	0.1029	0.0359	2.7206	3639	499.0	3.8269	0.0994	0.5588	2.6879	6449	753	34	HEU_MINER
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.6661798790807075	0.991722506897911	0.9957371225577265	0.46065672016578424	0.463755	0.460923	0.464351	0.1956	-0.5	-1.5664	-214	-1	-1	-0.2601	-1.6445	-1	0.0002116898029021942	3.5e-05	3.5e-05	3.5e-05	-7.0983	-6.9405	-0.7904176597907718	-1	-1	4	8	10	2.6	4	0.7333	-1	0.3095	0.119	2.5	0.2728	0.1064	2.4056	97935	51270.5	2.75	0.25	0.5714	2.0103	251734	11973	42	HEU_MINER
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9574176582276734	0.8648648648648649	0.9032258064516129	0.10681814245882615	0.112304	0.109005	0.111278	0.1776	-0.5	-0.7135	-2	-1	-1	-0.1538	-0.8684	-1	0.0	0.0	0.0	0.0	-2.48	-2.6689	-0.15652385152634565	-1	-1	4	3	6	2.3333	3	0.8667	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	37577	6843.0	1.585	0.5	1.0	0.9946	43802	515	6	HEU_MINER
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.3127406979920765	0.8906752411575563	0.9052224371373307	0.566549099684426	0.569469	0.567178	0.576054	-0.0085	-0.5	0.0601	-24	-1	-1	0.053	-0.0159	-1	0.3802363715116639	0.030631	0.030591	0.030628	-3.4852	-3.0155	0.02368657063677442	-1	-1	10	18	19	3.2105	6	0.6267	-1	0.3714	0.0476	3.1494	0.1925	0.0235	2.7806	1445	437.0	3.25	0.1208	0.5517	2.656	2099	202	29	HEU_MINER
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.4439449358249651	0.9825581395348837	0.9885714285714285	0.7206020223665736	0.762947	0.720961	0.751817	-0.118	-1.0	-0.7016	-10	-1	-1	-0.8172	-1.4936	-1	0.0	0.0	0.0	0.0	-5.3275	-5.3113	0.013181933295485962	-1	-1	0	3	3	2.0	3	1.0	-1	0.2	0.075	1.4591	0.0	0.0	-0.0	102853	56482.0	1.7925	0.1667	1.2	1.5513	150370	231	11	HEU_MINER
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.9589473090260079	0.65625	0.7216494845360825	0.06652756462209652	0.068865	0.069347	0.069706	0.2703	0.5	-0.3324	-8	-1	-1	-0.24	-0.5483	-1	0.13058922936317705	0.007357	0.007355	0.007401	-1.2698	-1.5263	-0.5447172611991214	-1	-1	7	3	7	2.8571	4	0.7391	-1	0.5	0.5	-0.0	0.0507	0.0507	0.9183	12698	2393.0	1.585	1.3333	0.375	0.9694	7554	1511	4	HEU_MINER
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.800466280637486	0.8923076923076924	0.937984496124031	0.22579528240640565	0.230095	0.227989	0.240464	-0.0788	-0.5	-0.8417	-17	-1	-1	0.1651	-1.4244	-1	0.0	0.0	0.0	0.0	-3.0363	-3.0689	0.04357290430496233	-1	-1	1	6	7	2.0	3	1.0	-1	0.3	0.1	1.4591	0.2147	0.0358	1.4591	7091	7091.0	1.4591	0.2	1.0	1.7284	10500	99	17	HEU_MINER
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.8538689264879744	0.5217391304347826	0.6285714285714286	0.17860422405876947	0.189562	0.186825	0.201728	-0.0317	0.0	-0.6799	-12	-1	-1	-0.1167	-0.5914	-1	0.0	0.0	0.0	0.0	-1.044	-1.0293	-0.035285562366607015	-1	-1	3	3	4	3.0	5	0.7143	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	469	55.0	1.585	0.6667	0.75	0.9699	819	108	3	HEU_MINER
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.9886249526335733	0.8235294117647058	0.9351491569390402	0.028498511271799254	0.029239	0.028633	0.029487	0.2775	0.075	3.6109	134	-1	-1	-0.0271	-0.0136	-1	16.11144193960012	0.631926	0.628792	0.667613	1.8239	1.6239	0.09249228605647272	-1	-1	7	6	8	3.25	6	0.6774	-1	0.45	0.225	2.585	0.0	0.0	-0.0	203	152.0	2.585	0.4	0.5	1.7747	232	33	12	IMd
activitylog_uci_detailed_labour.xes.gz	-1	-1	-1	-1	0.9993220338983051	0.9332357247437775	0.9919601315968775	0.001463057790782736	0.001465	0.001475	0.001464	0.1269	0.3	13.2338	3402	-1	-1	-0.0758	-1.4366	-1	74.3708851499588	0.799611	0.795237	0.803338	5.1288	4.4563	-0.019486011146125172	-1	-1	24	16	20	4.1	13	0.5769	-1	0.2552	0.0722	3.5778	0.0679	0.0348	3.7028	128	25.0	3.5778	0.3542	0.1882	2.707	25	25	16	IMd
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	-1	-1	-1	-1	0.24382749906890577	0.9754901960784313	0.9859943977591037	0.9010169491525376	0.92172	0.907092	0.921401	-0.0307	-0.5	-0.75	-13	-1	-1		-2.1226	-1	0.0	0.0	0.0	0.0	-4.9288	-5.023	0.10275787911280541	-1	-1	0	6	7	1.7143	2	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	713	713.0	0.9183	0.1667	1.2	1.6461	1434	116	27	IMd
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.9458513222879738	0.8896103896103896	0.9609053497942387	0.053780785406462556	0.054858	0.055247	0.054833	0.0358	-0.1667	1.9808	33	-1	-1	-0.1059	1.9689	-1	5.5529967635299995	0.669618	0.653065	0.679665	3.1471	2.7615	-0.04668479082404988	-1	-1	13	9	16	2.75	3	0.76	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	21444	21444.0	0.7642	0.2083	0.6	1.7866	20135	7	9	IMd
BPI_Challenge_2014_Geo parcel document.xes.gz	-1	-1	-1	-1	0.12357890170827934	0.827639751552795	0.9064613072877535	0.7884643154679254	0.796419	0.790325	0.792085	0.0444	0.0	1.6044	27	-1	-1	-0.1056	-0.8789	-1	2.5750661853188936	0.117942	0.114648	0.115216	-1.1897	-1.5129	-0.09686622648916458	-1	-1	18	8	18	3.0	5	0.6875	-1	0.3333	0.2024	2.75	0.0887	0.0489	2.4056	33304	5520.5	3.0	0.3929	0.3636	1.9845	29059	9274	16	IMd
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.20353982300884957	0.9838709677419355	0.9916317991631799	0.8347305389221554	0.97557	0.839144	0.930221	-0.2051	-1.0	-0.9274	-70	-1	-1		-1.7034	-1	0.0	0.0	0.0	0.0	-4.9029	-4.9454	0.9491719024002382	-1	-1	0	1	2	1.0	1	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	42	21.0	-0.0	0.5	2.0	1.0	339	98	16	IMd
