EVENT_LOG,PRECISION,FITNESS,FILTER_FREQ,FILTER_RAND,TOTAL_TRACES,DISCOVERY_ALG,EDIT_DISTANCE,EDIT_DISTANCE_WEIGHTED,EDIT_DISTANCE_WEIGHTED_MODIF,EDIT_DISTANCE_WEIGHTED_FIT,ALIGNMENT_DFG,DIST_NODES_PERCENT,DIST_EDGES_PERCENT,DIST_EDGES_WEIGHTED_FIT,DIST_EDGES_BTW,DIST_EDGES_CC,DIST_EDGES_DEGREE,CLUST_DIFF,CLUST_MAX_DIFF,DEGREE_DIFF,DEGREE_MAX_DIFF,BETWEEN_DIFF,BETWEEN_MAX_DIFF,ASSORT_DIFF,ENTROPY_DIFF,ENTROPY_DIFF_BTW,EXCEEDING_EDGES,EXCEEDING_EDGES_BTW,EXCEEDING_EDGES_CC,EXCEEDING_EDGES_DEGREE,FOURIER_ENTROPY_DIFF,FOURIER_ENTROPY_DIFF_WEIGHTED,CLUST_DIFF_WEIGHTED,BETWEEN_DIFF_WEIGHTED,BETWEEN_DIFF_WEIGHTED_NORM,PN_SILENT_TRANS,PN_TRANS,PN_PLACES,PN_ARCS_MEAN,PN_ARCS_MAX,PN_SIMPLICITY,PN_GENERALIZATION,LOG_BTW_MAX,LOG_BTW_MEDIAN,LOG_BTW_ENTROPY,LOG_CC_MAX,LOG_CC_MEDIAN,LOG_CC_ENTROPY,LOG_DEGREE_MAX,LOG_DEGREE_MEDIAN,LOG_DEGREE_ENTROPY,LOG_LINK_DENSITY,LOG_NODE_DEGREE_RATIO,LOG_FOURIER_ENTROPY,LOG_TRACES,LOG_VARIANTS,LOG_ACTIVITIES
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,1.0,0.5299,0.7,0.6,231.0,HEU_MINER,-1,-1,-1,-1,0.16483121713247234,0.9705882352941176,0.9803921568627452,0.8760677966101648,0.8902610000000001,0.8837700000000001,0.8953610000000001,-0.0307,-0.5,-0.5833,-12,-1,-1,-0.5732,-1.4726,-1,0.0,0.0,0.0,0.0,-4888,-4.6454,0.1027578791128054,-1,-1,1,6,7,2.0,3,1.0,-1,0.3,0.2,1585,0.0,0.0,-0.0,713,713.0,0.9183,0.1667,1.2,1.6461,1434,116,27
ElectronicInvoicingENG.xes.gz,0.5569,0.6513,0.8,0.7,6855.0,HEU_MINER,-1,-1,-1,-1,0.5151754578165849,0.75,0.8409090909090909,0.6222329912251856,0.660107,0.628965,0.656356,0.1341,0.0,0.6189,-1,-1,-1,-316,-0.2528,-1,0.418179615431212,0.202179,0.203188,0.20053900000000002,-511,-0.6422,-0.4006693772527445,-1,-1,12,9,15,2.8,4,0.75,-1,0.2679,0.1429,2.7255,0.0,0.0,-0.0,13710,10500.0,1.9749,0.2361,0.5294,1.8898,20135,7,9
BPI_Challenge_2014_Inspection.xes.gz,0.9015,0.054000000000000006,0.6,0.6,3237.0,HEU_MINER,-1,-1,-1,-1,0.5470364921707158,0.6017699115044248,0.7596281540504648,0.2501612601177721,0.25206100000000004,0.251046,0.25257399999999997,0.0198,0.25,1.7253,-1,-1,-1,-107,0.8364,-1,0.8785139099856424,0.124856,0.12476300000000001,0.124957,-0.1731,-0.4047,-0.005184311254288102,-1,-1,34,15,24,4.1667,11,0.5748,-1,0.5,0.0659,2.5968,0.0176,0.0031,3.3232,72052,2046.0,3.9069,0.3095,0.2308,2.5659,5485,3190,15
4a_VARA_CIVEL_-_TJGO.xes,1.0,0.7017,0.7,0.6,182.0,HEU_MINER,-1,-1,-1,-1,0.4334878494170531,0.9527559055118109,0.9591836734693876,0.6514970059880231,0.661013,0.655245,0.714533,-0.2051,-1.0,-0.1496,-63,-1,-1,-0.6722,-1.2001,-1,1.2179640718562874,0.016471,0.016459,0.016635,-3.65,-3.7055,0.9491719024002382,-1,-1,6,8,9,3.5556,6,561,-1,0.2143,0.0179,1.7527,0.1628,0.0666,2281,69,6.0,2.6416,0.2222,0.5625,2.2002,339,98,16
BPI_Challenge_2014_Control summary.xes.gz,1.0,0.9012,0.9,0.9,8857.0,HEU_MINER,-1,-1,-1,-1,0.7483320026078264,0.7727272727272727,0.8260869565217391,0.2874250987334874,0.30112300000000003,0.298011,0.29891,0.1732,-0.5,-0.4909,-3,-1,-1,0.0431,-961,-1,0.0,0.0,0.0,0.0,-1.9669999999999999,-2.0393,-0.2258658494313993,-1,-1,2,4,6,2.0,3,1.0,-1,0.3333,0.1667,1.0,0.0,0.0,-0.0,39335,23432.0,2.0,0.3333,1.0,1.4882,43808,59,7
DocumentProcessingENG.xes.gz,0.5438,0.8911,0.7,0.7,9384.0,HEU_MINER,-1,-1,-1,-1,0.7269893794089826,0.5588235294117647,0.7619047619047619,0.1296484263086809,0.133992,0.133163,0.135621,0.1667,0.5,831,0,-1,-1,-0.2123,-0.1431,-1,0.8514795563377399,0.41265799999999997,0.412466,0.410595,0.36,0.2982,-0.4628111117376853,-1,-1,13,9,16,2.75,3,0.76,-1,0.3333,0.1667,1.0,0.0,0.0,-0.0,9546,7159.5,1.0,0.4167,0.8,1281,18352,3,10
BPI_Challenge_2012.xes.gz,0.7745,0.7316,0.6,0.6,3588.0,HEU_MINER,-1,-1,-1,-1,0.4705017024745632,0.847953216374269,0.904487917146145,0.4226796674601488,0.42855,0.42441899999999994,0.425724,0.0794,-0.1667,1.8022,-7,-1,-1,0.0048,0.8221,-1,0.8566674561343651,0.13359300000000002,0.133889,0.13356600000000002,-1.8586,-1.7964,-0.0675002202062431,-1,-1,28,16,24,3.7917,8,0.5965,-1,0.6319,0.1593,3.5899,0.0693,0.0083,2.7899,9493,537.0,3.3736,0.1857,0.3846,2.7979,13087,4366,24
BPI_Challenge_2020_InternationalDeclarations.xes.gz,0.9662,0.7693,0.6,0.8,3352.0,HEU_MINER,-1,-1,-1,-1,0.2948390325259233,0.9446902654867256,0.9611542730299668,0.5327996103619344,0.536458,0.533504,0.5385810000000001,25,-0.5,-0.4482,-47,-1,-1,-0.0653,-0.7495,-1,0.3209339137316977,0.024366,0.024362,0.024294999999999997,-4.5141,-3.9658,-0.11500634823224945,-1,-1,11,17,19,3.1053,6,662,-1,0.7092,0.0588,3.2211,0.1029,0.0359,2.7206,3639,499.0,3.8269,0.0994,0.5588,2.6879,6449,753,34
BPI_Challenge_2019_log_IEEE.xes.gz,988,0.7271,0.6,0.6,67455.0,HEU_MINER,-1,-1,-1,-1,0.6661798790807075,0.9917225068979109,0.9957371225577264,0.4606567201657842,0.46375500000000003,0.46092299999999997,0.464351,0.1956,-0.5,-1.5664,-214,-1,-1,-0.2601,-1.6445,-1,0.00021168980290219418,3.5e-05,3.5e-05,3.5e-05,-7.0983,-6.9405,-0.7904176597907718,-1,-1,4,8,10,2.6,4,0.7333,-1,0.3095,0.11900000000000001,2.5,0.2728,0.1064,2.4056,97935,51270.5,2.75,0.25,0.5714,2.0103,251734,11973,42
BPI_Challenge_2014_Reference alignment.xes.gz,1.0,0.9819,0.9,0.9,39085.0,HEU_MINER,-1,-1,-1,-1,0.9574176582276734,0.8648648648648649,0.9032258064516128,0.10681814245882616,0.112304,0.10900499999999999,0.111278,0.1776,-0.5,-0.7135,-2,-1,-1,-0.1538,-0.8684,-1,0.0,0.0,0.0,0.0,-2.48,-2.6689,-0.15652385152634565,-1,-1,4,3,6,2.3333,3,0.8667,-1,0.5,0.0,0.9183,0.0,0.0,-0.0,37577,6843.0,1585,0.5,1.0,0.9946,43802,515,6
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,0.9286,0.6606,0.8,0.6,572.0,HEU_MINER,-1,-1,-1,-1,0.3127406979920765,0.8906752411575563,0.9052224371373307,0.566549099684426,0.569469,0.567178,0.576054,-0.0085,-0.5,0.0601,-24,-1,-1,53,-0.0159,-1,0.3802363715116639,0.030631,0.030591000000000004,0.030628,-3.4852,-3.0155,0.02368657063677442,-1,-1,10,18,19,3.2105,6,0.6267,-1,0.3714,0.0476,3.1494,0.1925,0.0235,2.7806,1445,437.0,3.25,0.1208,0.5517,2656,2099,202,29
Road_Traffic_Fine_Management_Process.xes.gz,1.0,0.6976,0.8,0.8,66756.0,HEU_MINER,-1,-1,-1,-1,0.4439449358249651,0.9825581395348836,0.9885714285714284,0.7206020223665736,0.762947,0.720961,0.751817,-0.11800000000000001,-1.0,-0.7016,-10,-1,-1,-0.8172,-1.4936,-1,0.0,0.0,0.0,0.0,-5.3275,-5.3113,0.013181933295485962,-1,-1,0,3,3,2.0,3,1.0,-1,0.2,75,1.4591,0.0,0.0,-0.0,102853,56482.0,1.7925,0.1667,1.2,1.5513,150370,231,11
BPI_Challenge_2013_incidents.xes.gz,0.9416,0.9809,0.7,0.8,4613.0,HEU_MINER,-1,-1,-1,-1,0.958947309026008,0.65625,0.7216494845360825,0.06652756462209652,0.068865,0.069347,0.06970599999999999,0.2703,0.5,-0.3324,-8,-1,-1,-0.24,-0.5483,-1,0.13058922936317705,0.007356999999999999,0.0073549999999999996,0.0074010000000000005,-1.2698,-1.5263,-0.5447172611991214,-1,-1,7,3,7,2.8571,4,0.7391,-1,0.5,0.5,-0.0,0.0507,0.0507,0.9183,12698,2393.0,1585,1.3333,375,0.9694,7554,1511,4
BPI_Challenge_2020_DomesticDeclarations.xes.gz,1.0,0.9162,0.8,0.7,7091.0,HEU_MINER,-1,-1,-1,-1,0.8004662806374859,0.8923076923076924,0.9379844961240309,0.22579528240640565,0.230095,0.227989,0.24046399999999998,-0.0788,-0.5,-0.8417,-17,-1,-1,0.1651,-1.4244,-1,0.0,0.0,0.0,0.0,-3.0363,-3.0689,0.04357290430496233,-1,-1,1,6,7,2.0,3,1.0,-1,0.3,0.1,1.4591,0.2147,0.0358,1.4591,7091,7091.0,1.4591,0.2,1.0,1.7284,10500,99,17
BPI_Challenge_2013_open_problems.xes.gz,0.9776,0.9246,0.8,0.7,542.0,HEU_MINER,-1,-1,-1,-1,0.8538689264879744,0.5217391304347826,0.6285714285714286,0.17860422405876947,0.18956199999999998,0.186825,0.201728,-0.0317,0.0,-0.6799,-12,-1,-1,-0.1167,-0.5914,-1,0.0,0.0,0.0,0.0,-1044,-1.0293,-0.035285562366607015,-1,-1,3,3,4,3.0,5,0.7143,-1,0.5,0.0,0.9183,0.0,0.0,-0.0,469,55.0,1585,0.6667,0.75,0.9699,819,108,3
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,0.3278,0.9871,0.6,0.6,59.0,IMd,-1,-1,-1,-1,0.9886249526335732,0.8235294117647058,0.9351491569390402,0.02849851127179925,0.029238999999999998,0.028633,0.029487,0.2775,75,3.6109,134,-1,-1,-0.0271,-0.0136,-1,16.11144193960012,0.631926,0.628792,0.667613,1.8239,1.6239,0.09249228605647272,-1,-1,7,6,8,3.25,6,0.6774,-1,0.45,225,2585,0.0,0.0,-0.0,203,152.0,2585,0.4,0.5,1.7747,232,33,12
